cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,inst.webaddr,chbal,chcic,chitem,chcoin,chus,chusfbk,chnus,chnusfbk,chfrb,chbalni
"58500","0","3637706","0","Community Valley Bank","El Centro","CA","92244","12/31/2014","2/18/2015","NM","1443 Main Street","","2","0","0","4","0","Imperial","20940","El Centro, CA","10/1/2007","10/1/2007","3/31/2014","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Orange","San Francisco","Western","Western","http://www.yourcvb.com","20394","","","","","","","","","3028"
"27572","0","1412712","2626299","Community West Bank, National Association","Goleta","CA","93117","12/31/2014","2/18/2015","N","5827 Hollister Avenue","COMMUNITY WEST BANCSHARES","7","0","0","4","0","Santa Barbara","42200","Santa Maria-Santa Barbara, CA","8/21/1989","8/21/1989","3/31/2006","Stock","0","0","OCC","DIF","San Francisco","SAN FRANCISCO","Los Angeles (West)","San Francisco","Western","Western","www.communitywestbank.com","18935","979","3","976","11172","0","0","0","6784","1609"
"3363","0","774262","3594872","CommunityBank of Texas, N.A.","Beaumont","TX","77706","12/31/2014","2/18/2015","N","5999 Delaware Street","CBFH, INC.","36","0","0","4","0","Jefferson","13140","Beaumont-Port Arthur, TX","3/6/1926","1/1/1934","8/24/2013","Stock","0","0","OCC","DIF","Dallas","DALLAS","Houston","Dallas","Southern","West","www.communitybankoftx.com","491801","51347","23325","28022","90972","0","0","0","349482","63296"
"4879","14400","591825","1133473","Communityone Bank, National Association","Asheboro","NC","27203","12/31/2014","2/18/2015","N","101 Sunset Avenue","COMMUNITYONE BANCORP","51","0","0","4","0","Randolph","24660","Greensboro-High Point, NC","1/1/1907","1/1/1934","6/8/2013","Stock","0","1","OCC","DIF","Atlanta","ATLANTA","Charlotte","Richmond","Northeastern","Southeast","http://www.community1.com","95880","28816","15021","13795","1227","0","0","0","65837","29200"
"19048","10256","697633","1391237","Compass Bank","Birmingham","AL","35233","12/31/2014","2/18/2015","SM","15 South 20th Street","BANCO BILBAO VIZCAYA ARGENTARIA, S.A.","677","1","1","4","0","Jefferson","13820","Birmingham-Hoover, AL","3/2/1964","3/2/1964","2/24/2011","Stock","0","1","FED","DIF","Atlanta","ATLANTA","Shelby","Atlanta","Southern","Southeast","www.bbvacompass.com","2798237","815992","387609","428383","121893","23","2754","0","1857598","833893"
"29430","3439","373272","0","Compass Savings Bank","Wilmerding","PA","15148","12/31/2014","2/18/2015","SB","111 Westinghouse Ave","","1","0","0","5","0","Allegheny","38300","Pittsburgh, PA","1/1/1934","5/6/1935","7/1/2006","Non-Stock","0","0","FDIC","DIF","New York","NEW YORK","Wexford","Cleveland","Northeastern","Northeast","www.compassbank.us","1178","","","","","","","","","222"
"34119","0","2392950","2881959","Concord Bank","Saint Louis","MO","63128","12/31/2014","2/18/2015","NM","12040 Tesson Ferry Road","CONCORD BANCSHARES, INC.","1","0","0","4","0","Saint Louis","41180","St. Louis, MO-IL","1/22/1996","1/22/1996","6/1/2012","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","St. Louis","St. louis","Western","West","http://www.concordbank.com","9067","","","","","","","","","4399"
"9727","0","273653","2623551","Concorde Bank","Blomkest","MN","56216","12/31/2014","2/18/2015","NM","16 S.W. Main Street","MATSON FINANCIAL, INC.","2","0","0","2","1","Kandiyohi","","","1/1/1910","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Mankato","Minneapolis","Central","West","http://www.concordebanks.com","13439","","","","","","","","","5100"
"8527","11229","819556","2557414","Concordia Bank & Trust Company","Vidalia","LA","71373","12/31/2014","2/18/2015","NM","904 Carter Street","CONCORDIA CAPITAL CORPORATION","7","0","1","8","1","Concordia","","","7/1/1903","1/1/1934","3/31/2006","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Shreveport","Dallas","Southern","Western","http://www.concordiabank.com","47946","6206","404","5802","16183","0","0","0","25557","14015"
"13788","0","164957","1249495","Concordia Bank of Concordia, Missouri","Concordia","MO","64020","12/31/2014","2/18/2015","NM","547 Main Street","NORTHERN MISSOURI BANCSHARES, INC.","4","0","0","4","0","Lafayette","28140","Kansas City, MO-KS","5/1/1932","1/1/1934","8/12/2010","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","West","http://www.concordia-bank.com","1861","","","","","","","","","1765"
