cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,inst.webaddr,chbal,chcic,chitem,chcoin,chus,chusfbk,chnus,chnusfbk,chfrb,chbalni
"58783","0","3720608","4503910","Oakworth Capital Bank","Birmingham","AL","35209","12/31/2014","2/18/2015","NM","2100 Southbridge Parkway, #","OAKWORTH CAPITAL, INC.","1","0","0","4","0","Jefferson","13820","Birmingham-Hoover, AL","3/31/2008","3/31/2008","2/24/2011","Stock","0","1","FDIC","DIF","Atlanta","ATLANTA","Shelby","Atlanta","Southern","Southeast","www.oakworthcapital.com","40610","","","","","","","","","4525"
"24156","0","663834","1136661","Ocean Bank","Miami","FL","33126","12/31/2014","2/18/2015","NM","780 N.W. 42nd Avenue","OCEAN BANKSHARES, INC.","21","0","0","4","0","Miami-Dade","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12/9/1982","12/9/1982","3/31/2006","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","South Florida","Atlanta","Southern","Southeast","www.oceanbank.com","40983","19291","6439","12852","900","0","271","0","20521","19291"
"30273","5091","3177","0","Ocean City Home Bank","Ocean City","NJ","8226","12/31/2014","2/18/2015","SA","1001 Asbury Ave","","12","0","0","5","0","Cape May","36140","Ocean City, NJ","1/1/1912","3/4/1946","8/1/2011","Stock","0","0","OCC","DIF","New York","NEW YORK","Jamesburg","Philadelphia","Northeastern","Northeast","www.ochome.com","80306","8512","874","7638","995","0","0","0","70800","8511"
"28359","1437","85472","0","OceanFirst Bank","Toms River","NJ","8753","12/31/2014","2/18/2015","SA","975 Hooper Avenue","","24","0","0","4","0","Ocean","35620","New York-Newark-Jersey City, NY-NJ-PA","1/1/1902","3/14/1938","7/21/2011","Stock","0","1","OCC","DIF","New York","NEW YORK","Jamesburg","Philadelphia","Northeastern","Northeast","www.oceanfirst.com","37519","25663","19153","6510","4389","0","0","0","7467","25661"
"30111","4769","853671","0","Oconee Federal Savings and Loan Association","Seneca","SC","29678","12/31/2014","2/18/2015","SA","115 East North 2nd Street","","7","0","1","5","0","Oconee","","","1/1/1924","9/26/1940","12/1/2014","Non-Stock","0","0","OCC","DIF","Atlanta","ATLANTA","Columbia Sc","Richmond","Northeastern","Southeast","www.oconeefederal.com","27775","2081","0","2081","25694","0","0","0","0","2081"
"18143","11902","573036","2729499","Oconee State Bank","Watkinsville","GA","30677","12/31/2014","2/18/2015","NM","35 North Main Street","OCONEE FINANCIAL CORPORATION","4","0","0","4","0","Oconee","12020","Athens-Clarke County, GA","2/1/1960","2/1/1960","8/1/2013","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Atlanta","Atlanta","Southern","Southeast","www.oconeestatebank.com","29346","1352","23","1329","916","0","0","0","27078","1762"
"14574","0","876157","3072594","Odin State Bank","Odin","MN","56160","12/31/2014","2/18/2015","NM","101 East Main Street","ODIN BANCSHARES, INC.","1","0","0","2","1","Watonwan","","","6/9/1904","3/28/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Mankato","Minneapolis","Central","West","www.odinstatebank.com","4959","","","","","","","","","1015"
"3371","0","777964","0","Oglesby State Bank","Oglesby","TX","76561","12/31/2014","2/18/2015","NM","117 Texas 1996","","1","0","0","8","1","Coryell","28660","Killeen-Temple, TX","1/1/1925","1/1/1934","2/24/2009","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","WWW.OGLESBYSB.COM","2730","","","","","","","","","781"
"58231","0","3447772","0","Ohana Pacific Bank","Honolulu","HI","96814","12/31/2014","2/18/2015","NM","1357 Kapiolani Blvd, # 102","","2","0","0","4","0","Honolulu","46520","Urban Honolulu, HI","6/1/2006","6/1/2006","10/17/2014","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","San Francisco","San Francisco","Western","Western","http://www.ohanapacificbank.com","28367","","","","","","","","","1140"
"13838","11436","618740","1097221","Ohio Valley Financial Group","Henderson","KY","42420","12/31/2014","2/18/2015","SM","140 North Main Street","OHIO VALLEY BANCORP, INC.","4","0","1","4","1","Henderson","21780","Evansville, IN-KY","2/2/1934","2/5/1934","1/1/2008","Stock","0","1","FED","DIF","Chicago","CHICAGO","Hopkinsville","St. louis","Central","Southeast","www.ohiovalleyfg.com","9723","","","","","","","","","7729"
"10111","13556","761543","1200311","Ohnward Bank & Trust","Cascade","IA","52033","12/31/2014","2/18/2015","NM","332 1st Avenue West","OHNWARD BANCSHARES, INC.","6","0","0","2","0","Dubuque","20220","Dubuque, IA","2/28/1903","1/1/1934","10/23/2009","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Cedar Rapids","Chicago","Western","Western","http://www.ohnwardbank.com","20267","963","0","963","9400","0","0","0","9904","1808"
"57850","0","3338357","4534101","Ojai Community Bank","Ojai","CA","93023","12/31/2014","2/18/2015","NM","402 West Ojai Avenue","OCB BANCORP","3","0","0","4","0","Ventura","37100","Oxnard-Thousand Oaks-Ventura, CA","3/3/2005","3/3/2005","9/28/2009","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Los Angeles (West)","San Francisco","Western","Western","http://www.ojaicommunitybank.com","11769","","","","","","","","","6789"
"4442","16147","775540","4350824","Okey-Vernon First National Bank","Corning","IA","50841","12/31/2014","2/18/2015","N","701 Davis Street","BLUE GRASS BANCORPORATION, INC","1","0","0","2","1","Adams","","","4/1/1900","1/1/1934","3/31/2006","Stock","0","0","OCC","DIF","Kansas City","KANSAS CITY","Des Moines","Chicago","Western","Western","www.okeybank.com","8718","","","","","","","","","2838"
"4067","14509","159953","1065613","Oklahoma Bank and Trust Company","Clinton","OK","73601","12/31/2014","2/18/2015","NM","600 Gary Boulevard","OKLAHOMA BANCORPORATION, INC.","4","0","0","2","1","Custer","","","3/2/1908","1/1/1934","3/31/2006","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Oklahoma City","Kansas City","Southern","West","http://www.oklahomabankandtrust.com","8907","","","","","","","","","3619"
"22855","53410","709956","0","Oklahoma Heritage Bank","Roff","OK","74865","12/31/2014","2/18/2015","NM","Main And Ninth Streets","","3","0","0","8","0","Pontotoc","","","5/7/1979","5/7/1979","3/31/2006","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Tulsa","Kansas City","Southern","West","http://www.okheritage.com","3597","","","","","","","","","2413"
"5994","0","905356","2725660","Oklahoma State Bank","Guthrie","OK","73044","12/31/2014","2/18/2015","NM","2610 South Division Avenue","TOWN & COUNTRY BANCSHARES, LLC","5","0","0","4","0","Logan","36420","Oklahoma City, OK","1/1/1909","1/1/1934","3/13/2013","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Oklahoma City","Kansas City","Southern","West","www.osbbank.com","2948","","","","","","","","","2932"
"13416","0","324256","1065864","Oklahoma State Bank","Buffalo","OK","73834","12/31/2014","2/18/2015","NM","122 South Hoy St","BUFFALO BANCSHARES, INC.","2","0","0","2","1","Harper","","","2/10/1930","1/2/1934","3/31/2006","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Oklahoma City","Kansas City","Southern","West","www.osbbuffalo.com","5700","","","","","","","","","3135"
"15611","0","285759","1059797","Oklahoma State Bank","Vinita","OK","74301","12/31/2014","2/18/2015","NM","120 West Canadian Street","OKLAHOMA STATE BANCSHARES, INC.","3","0","0","4","1","Craig","","","7/13/1938","8/19/1938","3/31/2006","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Tulsa","Kansas City","Southern","West","http://www.okstatebank.com","6228","","","","","","","","","3748"
"58504","0","3610718","0","Old Dominion National Bank","North Garden","VA","22959","12/31/2014","2/18/2015","N","4916 Plank Road, Suite 216","","2","0","0","4","0","Albemarle","16820","Charlottesville, VA","7/23/2007","7/23/2007","6/20/2014","Stock","0","0","OCC","DIF","Atlanta","ATLANTA","Richmond","Richmond","Northeastern","Southeast","http://www.odnbonline.com","10315","","","","","","","","","1265"
"24244","0","646837","1085527","Old Florida Bank","Orlando","FL","32801","12/31/2014","2/18/2015","NM","60 N. Court Ave., 1st Fl.","OLD FLORIDA BANCSHARES, INC.","10","0","0","4","0","Orange","36740","Orlando-Kissimmee-Sanford, FL","12/15/1982","12/15/1982","6/30/2014","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Tampa","Atlanta","Southern","Southeast","www.oldflorida.com","102097","1764","0","1764","40797","0","0","0","59537","33616"
"27599","0","1401387","3200221","Old Line Bank","Bowie","MD","20716","12/31/2014","2/18/2015","SM","1525 Pointer Ridge Place","OLD LINE BANCSHARES, INC.","19","0","0","4","0","Prince Georges","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","9/28/1989","9/28/1989","5/10/2013","Stock","0","0","FED","DIF","New York","NEW YORK","Baltimore","Richmond","Northeastern","Southeast","http://www.oldlinebank.com","24766","14620","7071","7549","1498","0","0","0","8648","14887"
"35303","0","2839053","2839044","Old Mission Bank","Sault Sainte Mar","MI","49783","12/31/2014","2/18/2015","NM","2701 1-75 Business Spur","OLD MISSION BANCORP, INC.","2","0","0","4","0","Chippewa","","","2/7/2000","2/7/2000","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Grand Rapids","Minneapolis","Central","Central","www.oldmissionbank.com","2097","","","","","","","","","2028"
"8252","0","2785646","2816803","Old Missouri Bank","Springfield","MO","65807","12/31/2014","2/18/2015","SM","3570 South National","JAMESMARK BANKSHARES, INC.","4","0","0","2","0","Greene","44180","Springfield, MO","4/13/1883","1/1/1934","12/13/2014","Stock","0","0","FED","DIF","Kansas City","KANSAS CITY","Springfield Mo","St. louis","Western","West","http://www.oldmissouribank.com","4017","","","","","","","","","2914"
"3832","15401","208244","1098303","Old National Bank","Evansville","IN","47708","12/31/2014","2/18/2015","N","1 Main Street","OLD NATIONAL BANCORP","211","0","1","9","0","Vanderburgh","21780","Evansville, IN-KY","8/27/1907","1/1/1934","11/1/2014","Stock","0","1","OCC","DIF","Chicago","CHICAGO","Indianapolis","St. louis","Central","Central","www.oldnational.com","239787","93819","645","93174","127212","0","27","0","18729","207871"
"58314","0","3404207","2260406","Old Plank Trail Community Bank, National Association","New Lenox","IL","60451","12/31/2014","2/18/2015","N","280 Veterans Pkwy","WINTRUST FINANCIAL CORPORATION","14","0","1","4","0","Will","16980","Chicago-Naperville-Elgin, IL-IN-WI","3/16/2006","3/16/2006","5/1/2013","Stock","0","0","OCC","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","www.oldplanktrailbank.com","131923","7917","2804","5113","2845","0","0","0","121161","9988"
"3603","14165","936136","1206911","Old Second National Bank","Aurora","IL","60506","12/31/2014","2/18/2015","N","37-39 South River Street","OLD SECOND BANCORP, INC.","25","0","0","4","0","Kane","16980","Chicago-Naperville-Elgin, IL-IN-WI","11/21/1887","1/1/1934","2/9/2008","Stock","0","1","OCC","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","http://www.oldsecond.com","44197","18366","4742","13624","16178","0","0","0","9653","30101"
"58561","0","3620913","0","OldTown Bank","Waynesville","NC","28786","12/31/2014","2/18/2015","NM","2045 South Main Street","","1","0","0","4","0","Haywood","11700","Asheville, NC","9/10/2007","9/10/2007","2/23/2009","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Charlotte","Richmond","Northeastern","Southeast","http://www.oldtownbanking.com","5126","","","","","","","","","4407"
"34171","0","2391588","3153260","Olmsted National Bank","Rochester","MN","55901","12/31/2014","2/18/2015","N","975 34th Avenue Nw","OLMSTED HOLDING CORPORATION","1","0","0","4","1","Olmsted","40340","Rochester, MN","5/9/1996","5/9/1996","4/10/2006","Stock","0","0","OCC","DIF","Kansas City","KANSAS CITY","Minneapolis","Minneapolis","Central","West","www.bankononb.com","5908","","","","","","","","","2148"
"28599","1925","550279","0","Olympia Federal Savings and Loan Association","Olympia","WA","98507","12/31/2014","2/18/2015","SB","421 Capitol Way S","","7","0","0","5","0","Thurston","36500","Olympia-Tumwater, WA","1/1/1906","12/7/1934","3/10/2014","Non-Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Seattle","San Francisco","Western","West","www.olyfed.com","19986","2787","1749","1038","994","0","0","0","16205","2800"
"8871","0","854548","0","OmniBank","Bay Springs","MS","39422","12/31/2014","2/18/2015","NM","531 3rd Street","","3","0","0","4","0","Jasper","","","1/1/1907","1/1/1934","12/6/2012","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Jackson Ms","Atlanta","Southern","West","http://www.theomnibankonline.com","9360","","","","","","","","","2489"
"35348","0","2826316","1094314","ONB Bank and Trust Company","Tulsa","OK","74137","12/31/2014","2/18/2015","SM","8908 S Yale Ave, Suite 100","CENTRAL BANCOMPANY, INC","10","0","1","4","0","Tulsa","46140","Tulsa, OK","1/20/2000","1/20/2000","1/14/2014","Stock","0","1","FED","DIF","Dallas","KANSAS CITY","Tulsa","Kansas City","Southern","West","www.onbbank.com","12022","9510","7912","1598","2512","0","0","0","0","11735"
"6078","0","95051","0","One American Bank","Centerville","SD","57014","12/31/2014","2/18/2015","NM","549 Broadway","","3","0","0","4","0","Turner","43620","Sioux Falls, SD","1/1/1883","1/1/1934","5/1/2012","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Sioux Falls","Minneapolis","Western","West","http://www.oneamericanbank.com","4696","","","","","","","","","4412"
"17800","14448","568144","2571269","One Bank & Trust, National Association","Little Rock","AR","72201","12/31/2014","2/18/2015","N","300 West Capitol Avenue","ONEFINANCIAL CORPORATION","9","0","0","4","0","Pulaski","30780","Little Rock-North Little Rock-Conway, AR","8/30/1957","8/30/1957","3/31/2006","Stock","0","1","OCC","DIF","Dallas","DALLAS","Little Rock","St. louis","Southern","Western","www.onebanc.com","24776","3784","1817","1967","16251","0","0","0","4741","5013"
"58811","18099","3807880","2037569","One South Bank","Chipley","FL","32428","12/31/2014","2/18/2015","NM","1385 Main Street","ONE SOUTH FINANCIAL, INC.","1","0","0","2","1","Washington","","","10/29/2008","10/29/2008","7/31/2012","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Pensacola","Atlanta","Southern","Southeast","www.onesouthbank.com","9679","","","","","","","","","900"
"57901","0","3296859","3311109","One World Bank","Dallas","TX","75229","12/31/2014","2/18/2015","NM","2449 Walnut Hill Lane","ONE WORLD HOLDING, INC.","1","0","0","4","0","Dallas","19100","Dallas-Fort Worth-Arlington, TX","4/4/2005","4/4/2005","2/10/2012","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","http://www.oneworldbank.com","13059","","","","","","","","","3809"
"23966","9061","935308","0","OneUnited Bank","Boston","MA","2110","12/31/2014","2/18/2015","NM","100 Franklin St","","9","0","1","4","0","Suffolk","14460","Boston-Cambridge-Newton, MA-NH","8/2/1982","8/2/1982","1/2/2012","Stock","0","0","FDIC","DIF","New York","NEW YORK","North Boston","Boston","Northeastern","Northeast","http://www.oneunited.com","64809","1689","0","1689","2538","0","0","0","60582","1751"
"58978","18129","3918898","3923614","OneWest Bank, National Association","Pasadena","CA","91101","12/31/2014","2/18/2015","N","888 E. Walnut Street","IMB HOLDCO LLC","74","0","0","4","0","Los Angeles","31080","Los Angeles-Long Beach-Anaheim, CA","3/19/2009","3/19/2009","5/6/2014","Stock","0","0","OCC","DIF","San Francisco","SAN FRANCISCO","Los Angeles (North)","San Francisco","Western","Western","www.onewestbank.com","3997042","37041","23687","13354","82656","0","0","0","3877345","119610"
"10380","13267","248745","2128944","Oostburg State Bank","Oostburg","WI","53070","12/31/2014","2/18/2015","NM","905 Center Avenue","OOSTBURG BANCORP, INC.","2","0","0","4","0","Sheboygan","43100","Sheboygan, WI","3/1/1908","1/1/1934","6/24/2014","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Milwaukee","Chicago","Central","Central","www.oostburgbank.com","4487","","","","","","","","","3841"
"57944","0","3357219","0","Open Bank","Los Angeles","CA","90017","12/31/2014","2/18/2015","NM","1000 Wilshire Blvd, # 100","","5","0","0","4","0","Los Angeles","31080","Los Angeles-Long Beach-Anaheim, CA","6/10/2005","6/10/2005","2/15/2013","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Los Angeles (West)","San Francisco","Western","Western","http://WWW.MYOPENBANK.COM","64749","","","","","","","","","12847"
"30182","4902","685676","4126609","Opportunity Bank of Montana","Helena","MT","59601","12/31/2014","2/18/2015","SM","1400 Prospect Avenue","EAGLE BANCORP MONTANA, INC.","13","0","0","4","0","Lewis And Clark","","","1/1/1922","3/26/1942","10/14/2014","Stock","0","0","FED","DIF","San Francisco","SAN FRANCISCO","Billings","Minneapolis","Western","West","http://www.opportunitybank.com","12498","2227","33","2194","109","0","0","0","10162","12389"
"58699","0","3689385","0","Optima Bank & Trust Company","Portsmouth","NH","3802","12/31/2014","2/18/2015","NM","Two Harbour Place","","5","0","0","4","0","Rockingham","14460","Boston-Cambridge-Newton, MA-NH","1/29/2008","1/29/2008","1/2/2012","Stock","0","0","FDIC","DIF","New York","NEW YORK","Concord","Boston","Northeastern","Northeast","www.optimabank.com","8645","","","","","","","","","872"
"35430","0","2953418","3251661","OptimumBank","Plantation","FL","33324","12/31/2014","2/18/2015","NM","10197 Cleary Boulevard","OPTIMUMBANK HOLDINGS, INC.","3","0","0","4","0","Broward","33100","Miami-Fort Lauderdale-West Palm Beach, FL","11/1/2000","11/1/2000","3/31/2006","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","South Florida","Atlanta","Southern","Southeast","http://www.optimumbank.com","12074","","","","","","","","","9000"
"57408","0","3202702","0","Optum Bank, Inc.","Salt Lake City","UT","84120","12/31/2014","2/18/2015","NM","2525 Lake Park Blvd, # 110","","1","0","0","9","0","Salt Lake","41620","Salt Lake City, UT","7/21/2003","7/21/2003","6/13/2014","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Salt Lake City","San Francisco","Western","West","http://www.optumbank.com","446337","962","962","0","938","0","0","0","444436","1901"
"33806","0","2047504","0","Opus Bank","Irvine","CA","92612","12/31/2014","2/18/2015","NM","19900 Macarthur Blvd, 12th F","","61","0","1","4","0","Orange","31080","Los Angeles-Long Beach-Anaheim, CA","5/20/1993","5/20/1993","3/10/2014","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Orange","San Francisco","Western","Western","www.opusbank.com","316383","27170","17773","9397","6178","0","0","0","283035","31115"
"57338","0","3157183","0","Orange County Business Bank","Irvine","CA","92614","12/31/2014","2/18/2015","NM","17901 Von Karman Ave, # 100","","1","0","0","4","0","Orange","31080","Los Angeles-Long Beach-Anaheim, CA","12/26/2002","12/26/2002","4/24/2014","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Orange","San Francisco","Western","Western","https://www.ocbusinessbank.com","16334","","","","","","","","","1484"
"12944","14523","176101","3596009","Orange County Trust Company","Middletown","NY","10940","12/31/2014","2/18/2015","SM","75 North Street","ORANGE COUNTY BANCORP, INC.","9","0","0","4","0","Orange","35620","New York-Newark-Jersey City, NY-NJ-PA","5/2/1892","1/1/1934","3/31/2006","Stock","0","1","FED","DIF","New York","NEW YORK","New York City","New York","Northeastern","Northeast","http://www.orangecountytrust.com","9518","7389","4333","3056","947","0","0","0","1182","8193"
"57373","0","3125557","3392881","Oregon Coast Bank","Newport","OR","97365","12/31/2014","2/18/2015","NM","909 Se Bay Boulevard","OREGON COAST BANCSHARES, INC.","5","0","0","8","1","Lincoln","","","7/8/2002","7/8/2002","3/31/2006","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Portland","San Francisco","Western","West","www.oregoncoastbank.com","4472","","","","","","","","","3342"
"22334","14075","247140","1207516","Oregon Community Bank & Trust","Oregon","WI","53575","12/31/2014","2/18/2015","SM","733 North Main Street","OREGON BANCORP, INC.","2","0","0","4","0","Dane","31540","Madison, WI","9/15/1976","9/15/1976","3/31/2006","Stock","0","1","FED","DIF","Chicago","CHICAGO","Madison","Chicago","Central","Central","http://www.oregoncommunitybank.com","4399","","","","","","","","","2925"
"23007","10782","160360","3152423","Oregon Pacific Banking Company dba Oregon Pacific Bank","Florence","OR","97439","12/31/2014","2/18/2015","SM","1355 Highway 101","OREGON PACIFIC BANCORP","5","0","0","4","0","Lane","21660","Eugene, OR","12/17/1979","12/17/1979","3/31/2006","Stock","0","1","FED","DIF","San Francisco","SAN FRANCISCO","Portland","San Francisco","Western","West","http://www.opbc.com","22830","","","","","","","","","4721"
"19118","15949","900258","1839261","Oregon Trail Bank","Guernsey","WY","82214","12/31/2014","2/18/2015","SM","Whalen St. & Wyoming Ave.","COMMUNITY BANKSHARES OF WYOMING","3","0","0","4","1","Platte","","","5/16/1964","5/16/1964","3/31/2006","Stock","0","0","FED","DIF","San Francisco","SAN FRANCISCO","Billings","Kansas City","Western","West","www.oregontrailbank.com","6130","","","","","","","","","1413"
"31469","7034","245276","2490575","Oriental Bank","San Juan","PR","926","12/31/2014","2/18/2015","NM","254 Munoz Rivera Avenue","OFG BANCORP","1","0","0","9","0","San Juan","41980","San Juan-Carolina-Caguas, PR","3/25/1965","3/25/1965","11/25/2013","Stock","0","1","FDIC","DIF","New York","NEW YORK","San Juan","New York","Northeastern","Southeast","http://www.orientalbank.com","529616","16795","28","16767","222200","0","0","0","290621","144723"
"28866","2519","2376","0","Oritani Bank","Township Of Wash","NJ","7676","12/31/2014","2/18/2015","SB","370 Pascack Road","","26","0","0","4","0","Bergen","35620","New York-Newark-Jersey City, NY-NJ-PA","1/1/1911","9/27/1939","5/4/2012","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","New York","Northeastern","Northeast","http://www.oritani.com","9572","3414","0","3414","5858","0","0","0","299","9170"
"1388","0","845452","1124574","Ormsby State Bank","Ormsby","MN","56162","12/31/2014","2/18/2015","NM","513 Main Street","ORMSBY BANCSHARES, INC.","1","0","0","2","1","Martin","","","7/1/1901","1/1/1934","9/11/2013","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Mankato","Minneapolis","Central","West","http://www.ormsbybank.com","5419","","","","","","","","","364"
"713","10038","342410","1248153","Orrstown Bank","Shippensburg","PA","17257","12/31/2014","2/18/2015","SM","77 East King Street","ORRSTOWN FINANCIAL SERVICES, INC.","23","0","1","4","0","Cumberland","25420","Harrisburg-Carlisle, PA","5/1/1919","1/1/1934","6/16/2007","Stock","0","1","FED","DIF","New York","NEW YORK","Harrisburg","Philadelphia","Northeastern","Northeast","http://www.orrstown.com","31410","10058","5329","4729","9276","0","0","0","12076","18174"
"1008","0","382742","0","OSB Community Bank","Brooklyn","MI","49230","12/31/2014","2/18/2015","SM","417 South Main Street","","3","0","0","4","0","Jackson","27100","Jackson, MI","10/1/1907","1/1/1934","3/31/2006","Stock","0","0","FED","DIF","Chicago","CHICAGO","Detroit","Chicago","Central","Central","http://www.osbcb.com","15569","","","","","","","","","1675"
"1837","0","948643","1138375","Ossian State Bank","Ossian","IN","46777","12/31/2014","2/18/2015","NM","102 North Jefferson Street","OSSIAN FINANCIAL SERVICES, INC.","2","0","0","4","0","Wells","23060","Fort Wayne, IN","10/19/1912","1/1/1934","1/2/2008","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Indianapolis","Chicago","Central","Central","http://www.ossianstatebank.com","12814","","","","","","","","","693"
"27989","17997","725077","0","Ottawa Savings Bank","Ottawa","IL","61350","12/31/2014","2/18/2015","SA","925 La Salle St","","3","0","0","5","0","La Salle","","","1/1/1871","4/3/1935","12/31/2014","Stock","0","0","OCC","DIF","Chicago","CHICAGO","Princeton","Chicago","Central","Central","www.ottawasavings.com","6594","","","","","","","","","3486"
"34332","0","2454607","2454586","Ouachita Independent Bank","Monroe","LA","71201","12/31/2014","2/18/2015","NM","909 North 18th Street","OUACHITA BANCSHARES CORP.","12","0","0","4","1","Ouachita","33740","Monroe, LA","3/3/1997","3/3/1997","3/31/2006","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Shreveport","Dallas","Southern","Western","http://www.oibank.com","50093","12109","5945","6164","1359","0","0","0","36625","12414"
"27955","16021","474777","2412586","Our Community Bank","Spencer","IN","47460","12/31/2014","2/18/2015","NM","279 East Morgan Street","HOME FINANCIAL BANCORP","2","0","0","5","0","Owen","14020","Bloomington, IN","1/1/1911","12/16/1935","7/15/2011","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Indianapolis","Chicago","Central","Central","www.ocbconnect.com","7742","","","","","","","","","769"
"13112","8907","38740","1207954","Owen County State Bank","Spencer","IN","47460","12/31/2014","2/18/2015","NM","201 West Morgan Street","OWEN FINANCIAL CORPORATION","4","0","0","4","0","Owen","14020","Bloomington, IN","1/1/1934","1/1/1934","3/31/2006","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Indianapolis","Chicago","Central","Central","http://www.ocsbank.com","22875","","","","","","","","","3099"
"9672","16019","492810","1071735","Owingsville Banking Company","Owingsville","KY","40360","12/31/2014","2/18/2015","NM","49 West Main Street","BATH COUNTY BANKING COMPANY","3","0","0","8","0","Bath","","","5/10/1893","1/1/1934","12/15/2010","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Lexington","Cleveland","Central","Southeast","www.bankobc.com; www.bankobc.net","3088","","","","","","","","","1606"
"9719","12402","448040","1249383","Oxford Bank","Oxford","MI","48371","12/31/2014","2/18/2015","NM","60 South Washington Street","OXFORD BANK CORPORATION","10","0","0","4","0","Oakland","19820","Detroit-Warren-Dearborn, MI","6/4/1884","1/1/1934","6/22/2009","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Detroit","Chicago","Central","Central","http://www.oxfordbank.com","35190","2015","0","2015","11257","0","0","0","21918","12395"
"9260","11032","647432","1248032","Oxford Bank & Trust","Oak Brook","IL","60523","12/31/2014","2/18/2015","NM","1111 W. 22nd St., Suite 800","OXFORD FINANCIAL CORPORATION","8","0","0","4","1","Du Page","16980","Chicago-Naperville-Elgin, IL-IN-WI","11/10/1902","1/1/1934","3/31/2006","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","WWW.OXFORDBANKONLINE.COM","30613","2123","0","2123","2046","0","0","0","26444","2657"
"57034","0","2938769","3260551","Oxford University Bank","Oxford","MS","38655","12/31/2014","2/18/2015","NM","1500 University Avenue","LAFAYETTE BANCORP, INC.","5","0","0","4","0","Lafayette","","","11/27/2000","11/27/2000","6/16/2014","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Memphis","St. louis","Southern","West","http://www.oubol.com","6054","","","","","","","","","1754"
"1654","14406","882952","0","Ozark Bank","Ozark","MO","65721","12/31/2014","2/18/2015","NM","106-112 North 2nd Avenue","","4","0","0","4","1","Christian","44180","Springfield, MO","9/25/1906","1/1/1934","6/4/2007","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Springfield Mo","St. louis","Western","West","http://www.ozarkbank.com","42606","","","","","","","","","4089"
"17431","0","913146","0","OZARK HERITAGE BANK NATIONAL ASSOCIATION","Mountain View","AR","72560","12/31/2014","2/18/2015","N","802 East Main Street","","2","0","0","2","0","Stone","","","4/29/1955","4/29/1955","4/1/2009","Stock","0","0","OCC","DIF","Dallas","DALLAS","Little Rock","St. louis","Southern","Western","www.ozarkheritagebank.com","1117","521","0","521","570","0","0","0","25","1117"
