cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,inst.webaddr,intinc,ilndom,ilnfor,ils,ichbal,isc,itrade,ifrepo,IOTHII
"26255","11852","775214","2807614","Metro Bank","Lemoyne","PA","17043","12/31/2014","2/18/2015","NM","1249 Market St","METRO BANCORP, INC.","33","0","0","4","0","Cumberland","25420","Harrisburg-Carlisle, PA","6/1/1985","6/1/1985","7/21/2009","Stock","0","0","FDIC","DIF","New York","NEW YORK","Harrisburg","Philadelphia","Northeastern","Northeast","www.mymetrobank.com","107894","86717","","0","0","20323","0","0","854"
"58181","0","3437456","4750086","Metro City Bank","Doraville","GA","30340","12/31/2014","2/18/2015","NM","5441 Buford Highway","METROCITY BANKSHARES, INC.","8","0","1","4","0","Dekalb","12060","Atlanta-Sandy Springs-Roswell, GA","4/4/2006","4/4/2006","3/19/2012","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Atlanta","Atlanta","Southern","Southeast","http://www.metrocitybank.com","27696","26787","","0","66","786","0","5","52"
"58402","0","3634394","0","Metro Phoenix Bank","Phoenix","AZ","85008","12/31/2014","2/18/2015","NM","4686 E Van Buren, Suite 150","","1","0","0","4","0","Maricopa","38060","Phoenix-Mesa-Scottsdale, AZ","9/13/2007","9/13/2007","7/14/2009","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Phoenix","San Francisco","Western","Western","www.metrophoenixbank.com","4641","4486","","0","2","106","0","24","23"
"22346","10760","699132","3637984","Metropolitan Bank","Crystal Springs","MS","39059","12/31/2014","2/18/2015","NM","201 S. Jackson Street","METROPOLITAN BANCGROUP, INC.","11","0","1","4","0","Copiah","27140","Jackson, MS","10/11/1976","10/11/1976","3/1/2008","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Jackson Ms","Atlanta","Southern","West","http://www.themetropolitanbank.com","30096","26321","","0","14","3591","0","158","12"
"25869","8804","534466","1139439","Metropolitan Bank","Oakland","CA","94606","12/31/2014","2/18/2015","NM","250 East 18th Street","MET FINANCIAL CORPORATION","4","0","0","4","1","Alameda","41860","San Francisco-Oakland-Hayward, CA","9/1/1983","12/17/1984","2/15/2013","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","San Francisco","San Francisco","Western","Western","","6294","5927","","0","103","264","0","0","0"
"33656","0","449515","0","Metropolitan Bank and Trust Company","New York","NY","10022","12/31/2014","2/18/2015","OI","10 East 53rd Street","","1","0","0","7","0","New York","35620","New York-Newark-Jersey City, NY-NJ-PA","9/5/1962","6/1/1983","3/31/2006","Stock","0","0","OCC","DIF","New York","NEW YORK","New York City","New York","Northeastern","Northeast","","","","","","","","","",""
"57488","0","3153233","3153224","Metropolitan Capital Bank & Trust","Chicago","IL","60611","12/31/2014","2/18/2015","NM","9 East Ontario Street","METROPOLITAN CAPITAL BANCORP, INC.","1","0","0","4","0","Cook","16980","Chicago-Naperville-Elgin, IL-IN-WI","1/25/2005","1/25/2005","12/19/2011","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","http://www.metcapbank.com","12490","12149","","0","25","316","0","0","0"
"34699","0","2705895","2702577","Metropolitan Commercial Bank","New York","NY","10016","12/31/2014","2/18/2015","SM","99 Park Avenue, 4th Floor","PASL HOLDING LLC","6","0","0","4","0","New York","35620","New York-Newark-Jersey City, NY-NJ-PA","6/21/1999","6/21/1999","1/1/2014","Stock","0","0","FED","DIF","New York","NEW YORK","New York City","New York","Northeastern","Northeast","http://www.metropolitanbankny.com","27484","25883","","0","95","1242","0","0","264"
"24311","14731","294256","3149339","Metropolitan National Bank","Springfield","MO","65802","12/31/2014","2/18/2015","N","600 South Glenstone Avenue","MARSHFIELD INVESTMENT COMPANY EMPLOYEE STOCK OWNERSHIP PLAN AND TRUST","13","0","0","4","1","Greene","44180","Springfield, MO","1/7/1983","1/7/1983","4/30/2009","Stock","0","0","OCC","DIF","Kansas City","KANSAS CITY","Springfield Mo","St. louis","Western","West","www.MetroNationalBank.com","15755","14121","","2","17","1563","0","0","52"
"30099","4742","849777","0","Metuchen Savings Bank","Metuchen","NJ","8840","12/31/2014","2/18/2015","SB","429 Main St","","2","0","0","5","0","Middlesex","35620","New York-Newark-Jersey City, NY-NJ-PA","1/1/1897","12/30/1960","3/31/2006","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","New York","Northeastern","Northeast","www.metuchensavingsbank.com","7625","5763","","0","107","1724","0","0","31"
