cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,inst.webaddr,ntrcdsm,cd3less,cd3t12s,cd1t3s,cdov3s
"13962","0","7456","1063301","Bank of Hartington","Hartington","NE","68739","12/31/2014","2/18/2015","SM","229 North Broadway","CEDAR BANCORP","2","0","0","2","1","Cedar","","","1/1/1917","2/28/1934","5/30/2008","Stock","0","0","FED","DIF","Kansas City","KANSAS CITY","Sioux City","Kansas City","Western","West","www.bankofhartington.com","11038","2486","5743","2591","218"
"18053","12557","795968","1025309","Bank of Hawaii","Honolulu","HI","96813","12/31/2014","2/18/2015","SM","111 South King Street","BANK OF HAWAII CORPORATION","67","0","1","9","0","Honolulu","46520","Urban Honolulu, HI","1/1/1897","7/10/1959","8/20/2010","Stock","0","1","FED","DIF","San Francisco","SAN FRANCISCO","San Francisco","San Francisco","Western","Western","www.boh.com","250811","49095","82035","87426","32255"
"17769","53483","746755","1052293","Bank of Hays","Hays","KS","67601","12/31/2014","2/18/2015","NM","1000 West 27th Street","HANSTON INSURANCE AGENCY, INC.","4","0","0","4","0","Ellis","","","8/21/1907","6/12/1957","12/31/2012","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Hays","Kansas City","Western","Western","www.bankofhays.com","25345","6154","12807","5387","997"
"17813","0","856458","0","Bank of Hazelton","Hazelton","ND","58544","12/31/2014","2/18/2015","NM","363 Main St","","1","0","0","2","1","Emmons","","","8/22/1903","12/1/1957","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Fargo","Minneapolis","Central","West","www.bankofhazelton.net","7532","2188","4831","513","0"
"149","0","628039","3140961","Bank of Hazlehurst","Hazlehurst","GA","31539","12/31/2014","2/18/2015","NM","22 South Tallahassee Street","HAZLEHURST INVESTORS, INC.","2","0","0","4","1","Jeff Davis","","","1/1/1906","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Albany Ga","Atlanta","Southern","Southeast","www.bankofhazlehurst.com","12256","2743","7217","1625","671"
"15821","0","973056","1098349","Bank of Hillsboro","Hillsboro","MO","63050","12/31/2014","2/18/2015","SM","10625 Highway 21","HILLSBORO BANCSHARES, INC.","1","0","0","4","0","Jefferson","41180","St. Louis, MO-IL","4/14/1892","5/26/1941","3/31/2006","Stock","0","0","FED","DIF","Kansas City","KANSAS CITY","St. Louis","St. louis","Western","West","http://WWW.BANKOFHILLSBORO.COM","11435","2689","5736","2840","170"
"289","0","763211","3923306","Bank of Hindman","Hindman","KY","41822","12/31/2014","2/18/2015","NM","10 East Highway 80","COMMUNITY EXCHANGE BANCSHARES INC.","2","0","0","7","0","Knott","","","1/1/1903","1/1/1934","5/12/2014","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Lexington","Cleveland","Central","Southeast","www.bankofhindman.com","30526","7317","17314","4126","1769"
"1464","0","941804","2960359","Bank of Holland","Holland","NY","14080","12/31/2014","2/18/2015","NM","12 South Main Street","HOLLAND BANCORP, INC.","2","0","0","5","0","Erie","15380","Buffalo-Cheektowaga-Niagara Falls, NY","10/21/1893","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","New York","NEW YORK","Syracuse","New York","Northeastern","Northeast","WWW.BANKOFHOLLANDNY.COM","18130","2542","7773","4714","3101"
"10674","11619","291059","1057168","Bank of Hydro","Hydro","OK","73048","12/31/2014","2/18/2015","NM","146 West Main Street","HYDRO BANCSHARES, INC.","3","0","0","4","1","Caddo","","","10/1/1903","1/1/1934","11/1/2011","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Oklahoma City","Kansas City","Southern","West","http://www.bankofhydro.com","16306","3973","8701","3322","310"
"8584","0","790150","1118760","Bank of Iberia","Iberia","MO","65486","12/31/2014","2/18/2015","SM","841 E. Hwy 42","MILCO BANCORPORATION, INC.","2","0","0","8","0","Miller","","","10/1/1899","1/1/1934","3/31/2006","Stock","0","0","FED","DIF","Kansas City","KANSAS CITY","Columbia Mo","St. louis","Western","West","www.bankofiberia.com","17778","3099","9198","4545","936"
