cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,inst.webaddr,lnreres,LNRERSFM,LNRERSF2,lnreloc,LNRERSF1
"28836","2458","459372","0","United Savings Bank","Philadelphia","PA","19145","12/31/2014","2/18/2015","SB","1510 Packer Avenue","","6","0","0","8","0","Philadelphia","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","1/1/1923","8/6/1936","10/31/2006","Non-Stock","0","0","FDIC","DIF","New York","NEW YORK","Philadelphia","Philadelphia","Northeastern","Northeast","http://WWW.UNITEDSAVINGSBANK.COM","101144","94906","1651","4587","1741"
"1427","0","630340","1247736","United Security Bank","Fulton","MO","65251","12/31/2014","2/18/2015","NM","2050 Bluff Street","MID-MO BANCSHARES, INC.","3","0","0","8","1","Callaway","27620","Jefferson City, MO","1/25/1930","1/1/1934","1/25/2013","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Columbia Mo","St. louis","Western","West","","19027","18163","761","103","2781"
"27132","14091","1162017","3015975","United Security Bank","Fresno","CA","93711","12/31/2014","2/18/2015","SM","2126 Inyo Street","UNITED SECURITY BANCSHARES","13","0","0","4","0","Fresno","23420","Fresno, CA","12/21/1987","12/21/1987","2/27/2014","Stock","0","0","FED","DIF","San Francisco","SAN FRANCISCO","Sacramento","San Francisco","Western","Western","http://www.unitedsecuritybank.com","63194","59752","3442","0","23118"
"15465","13655","327435","1141601","United Southern Bank","Umatilla","FL","32784","12/31/2014","2/18/2015","NM","750 North Central Avenue","UNISOUTH, INC.","13","0","0","4","0","Lake","36740","Orlando-Kissimmee-Sanford, FL","3/1/1937","3/1/1937","3/31/2006","Stock","0","1","FDIC","DIF","Atlanta","ATLANTA","Gainesville","Atlanta","Southern","Southeast","www.unitedsouthernbank.com","87476","68081","3419","15976","57112"
"9309","12011","110945","1140574","United Southern Bank","Hopkinsville","KY","42240","12/31/2014","2/18/2015","NM","1813 East Ninth Street","TODD BANCSHARES, INC.","9","0","0","2","0","Christian","17300","Clarksville, TN-KY","6/22/1922","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Hopkinsville","St. louis","Central","Southeast","www.usbky.com","72160","70216","1232","712","3380"
"10208","0","343257","1124930","United Southwest Bank","Cottonwood","MN","56229","12/31/2014","2/18/2015","NM","111 West Main Street","EMPIRE BANCSHARES, INC.","4","0","0","2","0","Lyon","","","1/1/1916","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Sioux Falls","Minneapolis","Central","West","http://www.unitedswbank.com","673","641","32","0","0"
"12214","11557","659556","1096091","United State Bank","Lewistown","MO","63452","12/31/2014","2/18/2015","NM","102 West Main St","RIVER VALLEY BANCSHARES, INCORPORATED","3","0","0","2","1","Lewis","","","9/8/1928","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","St. Louis","St. louis","Western","West","http://www.usb1.com","11013","10471","315","227","4494"
"26626","0","726953","4378529","United Texas Bank","Dallas","TX","75251","12/31/2014","2/18/2015","SM","12222 Merit Drive, # 100","UTB FINANCIAL HOLDING COMPANY","1","0","0","4","0","Dallas","19100","Dallas-Fort Worth-Arlington, TX","4/7/1986","4/7/1986","8/10/2012","Stock","0","0","FED","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","www.unitedtexasbank.com","24109","24109","0","0","0"
"35393","16310","2949970","0","United Trust Bank","Palos Heights","IL","60463","12/31/2014","2/18/2015","SA","12330 South Harlem Avenue","","1","0","0","4","0","Cook","16980","Chicago-Naperville-Elgin, IL-IN-WI","11/24/2000","11/24/2000","7/21/2011","Stock","0","0","OCC","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","utbhome.com","11718","9233","0","2485","3181"
"15478","0","922559","1140211","United Valley Bank","Cavalier","ND","58220","12/31/2014","2/18/2015","NM","211 Division Avenue South","FIRST HOLDING COMPANY OF CAVALIER, INC.","6","0","1","2","1","Pembina","","","8/25/1905","3/22/1937","1/29/2010","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Grand Forks","Minneapolis","Central","West","uvbank.net","18005","12222","2270","3513","0"
"27033","10483","218775","0","United-American Savings Bank","Pittsburgh","PA","15203","12/31/2014","2/18/2015","SB","1812 East Carson Street","","1","0","0","5","0","Allegheny","38300","Pittsburgh, PA","1/1/1954","7/30/1987","11/21/2013","Stock","0","0","FDIC","DIF","New York","NEW YORK","Wexford","Cleveland","Northeastern","Northeast","http://www.uasb.com","54829","48461","2824","3544","13257"
"57120","0","3076284","3344620","Uniti Bank","Buena Park","CA","90621","12/31/2014","2/18/2015","NM","6301 Beach Blvd, # 100","UNITI FINANCIAL CORPORATION","3","0","0","4","0","Orange","31080","Los Angeles-Long Beach-Anaheim, CA","12/17/2001","12/17/2001","5/27/2014","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Orange","San Francisco","Western","Western","http://www.unitibank.com","1149","194","81","874","194"
"33503","0","1890525","2181426","Unity Bank","Clinton","NJ","8809","12/31/2014","2/18/2015","NM","64 Old Highway 22","UNITY BANCORP, INC.","15","0","1","4","0","Hunterdon","35620","New York-Newark-Jersey City, NY-NJ-PA","9/13/1991","9/13/1991","10/31/2006","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","New York","Northeastern","Northeast","www.unitybank.com","278941","234067","14938","29936","111414"
"8714","0","443353","1122048","Unity Bank","Augusta","WI","54722","12/31/2014","2/18/2015","NM","207 West Lincoln","AUGUSTA FINANCIAL CORPORATION","2","0","0","2","1","Eau Claire","20740","Eau Claire, WI","12/1/1914","1/2/1934","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","KANSAS CITY","Eau Claire","Minneapolis","Central","Central","http://www.unitybanking.com","10649","10153","0","496","0"
"8545","0","854052","1122990","Unity Bank","Rush City","MN","55069","12/31/2014","2/18/2015","NM","1180 West 4th Street","KIMBERLY LEASING CORPORATION","9","0","0","2","1","Chisago","33460","Minneapolis-St. Paul-Bloomington, MN-WI","4/18/1882","1/1/1934","4/25/2008","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Minneapolis","Minneapolis","Central","West","http://www.unitybanking.com","33090","27217","1806","4067","2659"
"8202","0","732459","1123700","Unity Bank North","Red Lake Falls","MN","56750","12/31/2014","2/18/2015","NM","210 Main Street","CAPRICE CORPORATION","2","0","0","8","1","Red Lake","","","1/1/1929","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Grand Forks","Minneapolis","Central","West","http://www.unitybanking.com","16083","14437","1407","239","293"
"26351","0","853251","0","Unity National Bank of Houston","Houston","TX","77004","12/31/2014","2/18/2015","N","2602 Blodgett Street","","2","0","0","4","0","Harris","26420","Houston-The Woodlands-Sugar Land, TX","8/1/1985","8/1/1985","3/31/2006","Stock","0","0","OCC","DIF","Dallas","DALLAS","Houston","Dallas","Southern","West","WWW.UNITYBANKTEXAS.COM","8035","8035","0","0","0"
"30722","5801","208570","0","Universal Bank","West Covina","CA","91792","12/31/2014","2/18/2015","SA","3455 Nogales St, # No 105","","5","0","0","4","0","Los Angeles","31080","Los Angeles-Long Beach-Anaheim, CA","11/17/1954","11/17/1954","2/19/2013","Stock","0","0","OCC","DIF","San Francisco","SAN FRANCISCO","Los Angeles (North)","San Francisco","Western","Western","www.universalbank.com","25831","18630","286","6915","17142"
"14587","9279","137652","1496253","University Bank","Ann Arbor","MI","48104","12/31/2014","2/18/2015","NM","2015 Washtenaw Avenue","UNIVERSITY BANCORP, INC.","1","0","0","8","0","Washtenaw","11460","Ann Arbor, MI","5/8/1908","7/23/1934","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Detroit","Chicago","Central","Central","http://www.university-bank.com","60336","58579","561","1196","15133"
"34985","16003","2726416","2738044","University Bank","Pittsburg","KS","66762","12/31/2014","2/18/2015","NM","1206 South Broadway St","UNIVERSITY NATIONAL BANCSHARES, INC.","3","0","0","4","1","Crawford","","","1/4/1999","1/4/1999","12/14/2009","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Springfield Mo","Kansas City","Western","Western","http://www.ubpittsburg.com","22072","19928","1083","1061","15691"
"7759","9352","354310","1116609","Univest  Bank and Trust Co.","Souderton","PA","18964","12/31/2014","2/18/2015","SM","10 West Broad Street","UNIVEST CORPORATION OF PENNSYLVANIA","38","0","0","4","0","Montgomery","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","4/1/1876","1/1/1934","12/31/2014","Stock","0","1","FED","DIF","New York","NEW YORK","Philadelphia","Philadelphia","Northeastern","Northeast","http://www.univest.net","315353","188821","17561","108971","132374"
"1090","0","236957","1129159","Upper Peninsula State Bank","Escanaba","MI","49829","12/31/2014","2/18/2015","NM","430 North Lincoln Road","S.B.E. CORP.","2","0","0","4","0","Delta","","","1/1/1902","1/1/1934","9/28/2009","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Appleton","Minneapolis","Central","Central","http://www.upstatebank.net","38335","33454","1291","3590","0"
"59051","0","4184186","0","Urban Partnership Bank","Chicago","IL","60619","12/31/2014","2/18/2015","NM","7936 S. Cottage Grove Ave.","","12","0","1","4","0","Cook","16980","Chicago-Naperville-Elgin, IL-IN-WI","8/19/2010","8/19/2010","6/3/2013","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","upbnk.com","157099","151979","1470","3650","24624"
"58310","0","3470154","0","US Metro Bank","Garden Grove","CA","92844","12/31/2014","2/18/2015","NM","9866 Garden Grove Boulevard","","1","0","0","4","0","Orange","31080","Los Angeles-Long Beach-Anaheim, CA","9/15/2006","9/15/2006","4/18/2014","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Orange","San Francisco","Western","Western","http://WWW.USMETROBANK.COM","730","730","0","0","0"
"32188","7975","619877","0","USAA Federal Savings Bank","San Antonio","TX","78288","12/31/2014","2/18/2015","SA","10750 Mcdermott Freeway","","1","0","0","6","0","Bexar","41700","San Antonio-New Braunfels, TX","12/30/1983","12/30/1983","7/21/2011","Stock","0","1","OCC","DIF","Dallas","DALLAS","Austin","Dallas","Southern","West","www.usaa.com","9043285","2799307","936669","5307309","228219"
"34351","0","2502656","0","USAA Savings Bank","Las Vegas","NV","89109","12/31/2014","2/18/2015","NM","3773 Howard Hughes Parkway,","","1","0","0","9","0","Clark","29820","Las Vegas-Henderson-Paradise, NV","9/27/1996","9/27/1996","4/18/2014","Stock","32188","0","FDIC","DIF","San Francisco","DALLAS","Phoenix","San Francisco","Western","West","www.usaa.com","0","0","0","0","0"
"58427","0","3536407","3536386","USAmeriBank","Largo","FL","33770","12/31/2014","2/18/2015","SM","1125 East Bay Drive","USAMERIBANCORP, INC.","28","0","1","4","0","Pinellas","45300","Tampa-St. Petersburg-Clearwater, FL","2/12/2007","2/12/2007","12/31/2011","Stock","0","0","FED","DIF","Atlanta","ATLANTA","Tampa","Atlanta","Southern","Southeast","www.usameribank.com","418481","305029","4774","108678","199844"
"58541","0","3620922","0","USNY Bank","Geneva","NY","14456","12/31/2014","2/18/2015","NM","389 Hamilton Street","","2","0","0","2","0","Ontario","40380","Rochester, NY","7/31/2007","7/31/2007","7/31/2007","Stock","0","0","FDIC","DIF","New York","NEW YORK","Syracuse","New York","Northeastern","Northeast","www.usnybank.com","28976","22143","1155","5678","12134"
"35323","0","2880019","3157549","Utah Community Bank","Sandy","UT","84094","12/31/2014","2/18/2015","NM","820 East 9400 South","ALL WEST BANCORP","1","0","0","4","0","Salt Lake","41620","Salt Lake City, UT","7/25/2000","7/25/2000","2/15/2011","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Salt Lake City","San Francisco","Western","West","www.utahcommunitybank.com","7318","4945","43","2330","22"
"22514","0","256179","0","Utah Independent Bank","Salina","UT","84654","12/31/2014","2/18/2015","SM","55 South State Street","","3","0","0","4","1","Sevier","","","8/29/1977","8/29/1977","3/31/2006","Stock","0","0","FED","DIF","San Francisco","SAN FRANCISCO","Salt Lake City","San Francisco","Western","West","www.uibankonline.com","8414","7851","563","0","4847"
"24919","9693","590220","2082532","Uwharrie Bank","Albemarle","NC","28001","12/31/2014","2/18/2015","SM","167 North Second Street","UWHARRIE CAPITAL CORP","9","0","0","4","0","Stanly","","","1/26/1984","1/26/1984","9/1/2013","Stock","0","0","FED","DIF","Atlanta","ATLANTA","Charlotte","Richmond","Northeastern","Southeast","http://www.uwharrie.com","137875","82524","8990","46361","15931"
"27518","0","1401891","2807100","Valley Bank","Glasgow","MT","59230","12/31/2014","2/18/2015","SM","110 Sixth Street South","MILK RIVER BANQUO, INC.","1","0","0","2","0","Valley","","","6/9/1989","6/9/1989","3/31/2006","Stock","0","0","FED","DIF","San Francisco","SAN FRANCISCO","Billings","Minneapolis","Western","West","http://www.valleybankglasgow.com","4115","3965","150","0","0"
"34019","14686","2303086","2314327","Valley Bank","Roanoke","VA","24011","12/31/2014","2/18/2015","SM","36 Church Avenue Southwest","VALLEY FINANCIAL CORPORATION","9","0","0","4","0","Roanoke City","40220","Roanoke, VA","5/15/1995","5/15/1995","3/31/2006","Stock","0","0","FED","DIF","Atlanta","ATLANTA","Richmond","Richmond","Northeastern","Southeast","http://www.myvalleybank.com","183752","146565","8292","28895","11393"
"25651","11931","806154","1056189","Valley Bank & Trust","Brighton","CO","80601","12/31/2014","2/18/2015","NM","4900 E. Bromley Lane","VALLEY BANCORP, INC.","8","0","0","4","1","Adams","19740","Denver-Aurora-Lakewood, CO","1/3/1978","9/13/1984","11/20/2007","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Denver","Kansas City","Western","Western","www.valleybankandtrust.com","21116","14120","1670","5326","4694"
"251","15673","943143","1919976","Valley Bank & Trust","Mapleton","IA","51034","12/31/2014","2/18/2015","NM","401 Main Street","BEULAH BANCORPORATION, INC.","2","0","0","2","1","Monona","","","10/3/1878","1/1/1934","2/1/2015","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Sioux City","Chicago","Western","Western","www.valleybankmapleton.com","1893","1851","0","42","269"
"34186","13906","2472508","1250398","Valley Bank and Trust Co.","Scottsbluff","NE","69361","12/31/2014","2/18/2015","NM","1701 First Avenue","FIRST EXPRESS OF NEBRASKA, INC.","11","0","1","2","0","Scotts Bluff","","","6/17/1996","6/17/1996","3/31/2006","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Grand Island","Kansas City","Western","West","http://www.valleybankne.com","45041","40048","187","4806","10191"
