cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,webaddr,nclnlsr,ncrer,ncreconr,ncrenrer,ncremulr,ncreresr,ncrelocr,ncrereor,idnccir,idncconr,idnccrdr,idnccoor,idncothr,nccomrer,idncgtpr
"8202","0","732459","1123700","Unity Bank North","Red Lake Falls","MN","56750","12/31/2014","2/18/2015","NM","210 Main Street","CAPRICE CORPORATION","2","0","0","8","1","Red Lake","","","1/1/1929","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Grand Forks","Minneapolis","Central","West","http://www.unitybanking.com","0.186004514672686","0.179496593644189","0","0","0","0.273580799602064","0","0.277707649583439","0.433218898152689","8.57142857142857E-02","","8.57142857142857E-02","0","","0"
"26351","0","853251","0","Unity National Bank of Houston","Houston","TX","77004","12/31/2014","2/18/2015","N","2602 Blodgett Street","","2","0","0","4","0","Harris","26420","Houston-The Woodlands-Sugar Land, TX","8/1/1985","8/1/1985","3/31/2006","Stock","0","0","OCC","DIF","Dallas","DALLAS","Houston","Dallas","Southern","West","WWW.UNITYBANKTEXAS.COM","2.76906895366007","2.69136500754148","0","4.36472346786248","0","3.3105164903547","","3.3105164903547","3.80969741159315","1.18343195266272","","1.18343195266272","","","0"
"30722","5801","208570","0","Universal Bank","West Covina","CA","91792","12/31/2014","2/18/2015","SA","3455 Nogales St, # No 105","","5","0","0","4","0","Los Angeles","31080","Los Angeles-Long Beach-Anaheim, CA","11/17/1954","11/17/1954","2/19/2013","Stock","0","0","OCC","DIF","San Francisco","SAN FRANCISCO","Los Angeles (North)","San Francisco","Western","Western","www.universalbank.com","0.966562767805004","0.975749803816487","","0.151472500368628","0.27424861476465","7.72327823158221","2.84887924801157","9.50518079932333","0","0","","0","0","","0"
"14587","9279","137652","1496253","University Bank","Ann Arbor","MI","48104","12/31/2014","2/18/2015","NM","2015 Washtenaw Avenue","UNIVERSITY BANCORP, INC.","1","0","0","8","0","Washtenaw","11460","Ann Arbor, MI","5/8/1908","7/23/1934","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Detroit","Chicago","Central","Central","http://www.university-bank.com","0.303543156630453","0.31261245052177","0","1.00804168082456","0","1.82312383983028E-02","0","1.85999323638823E-02","0","0","0","0","0","","0"
"34985","16003","2726416","2738044","University Bank","Pittsburg","KS","66762","12/31/2014","2/18/2015","NM","1206 South Broadway St","UNIVERSITY NATIONAL BANCSHARES, INC.","3","0","0","4","1","Crawford","","","1/4/1999","1/4/1999","12/14/2009","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Springfield Mo","Kansas City","Western","Western","http://www.ubpittsburg.com","0.763977312188911","1.01850315300365","0","0.17569685170236","0","2.0569046756071","0","2.16077292846604","0.39314799213704","0.250501002004008","","0.250501002004008","0","","0"
"7759","9352","354310","1116609","Univest  Bank and Trust Co.","Souderton","PA","18964","12/31/2014","2/18/2015","SM","10 West Broad Street","UNIVEST CORPORATION OF PENNSYLVANIA","38","0","0","4","0","Montgomery","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","4/1/1876","1/1/1934","12/31/2014","Stock","0","1","FED","DIF","New York","NEW YORK","Philadelphia","Philadelphia","Northeastern","Northeast","http://www.univest.net","1.09133721939694","1.26189797906404","9.28110916374562","0.779143711171023","0","0.520686341972329","0.150498756549908","0.716147726061381","1.30631218824267","1.21975671701644","0","1.22081744598301","0.212253532198932","","12.3847537665842"
"1090","0","236957","1129159","Upper Peninsula State Bank","Escanaba","MI","49829","12/31/2014","2/18/2015","NM","430 North Lincoln Road","S.B.E. CORP.","2","0","0","4","0","Delta","","","1/1/1902","1/1/1934","9/28/2009","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Appleton","Minneapolis","Central","Central","http://www.upstatebank.net","2.08245894466124","2.3394208806629","0","3.31388810795614","","1.03821572975088","0","1.14548855950496","0.323126634866903","0.355543850408217","0","0.359281437125749","0","","0"
"59051","0","4184186","0","Urban Partnership Bank","Chicago","IL","60619","12/31/2014","2/18/2015","NM","7936 S. Cottage Grove Ave.","","12","0","1","4","0","Cook","16980","Chicago-Naperville-Elgin, IL-IN-WI","8/19/2010","8/19/2010","6/3/2013","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","upbnk.com","14.5659151538392","14.891575640609","34.1238317757009","11.2501671005977","13.2275663037355","18.8575356940528","10.5205479452055","19.0558426578212","12.9630872483221","13.5514018691589","","13.5514018691589","0","","0"
"58310","0","3470154","0","US Metro Bank","Garden Grove","CA","92844","12/31/2014","2/18/2015","NM","9866 Garden Grove Boulevard","","1","0","0","4","0","Orange","31080","Los Angeles-Long Beach-Anaheim, CA","9/15/2006","9/15/2006","4/18/2014","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Orange","San Francisco","Western","Western","http://WWW.USMETROBANK.COM","0.38079663590702","0.380290329176038","0","0.469918480091626","0","0","","0","0.389040642330933","","","","0","","0"
"32188","7975","619877","0","USAA Federal Savings Bank","San Antonio","TX","78288","12/31/2014","2/18/2015","SA","10750 Mcdermott Freeway","","1","0","0","6","0","Bexar","41700","San Antonio-New Braunfels, TX","12/30/1983","12/30/1983","7/21/2011","Stock","0","1","OCC","DIF","Dallas","DALLAS","Austin","Dallas","Southern","West","www.usaa.com","1.00277610850289","2.19963039551637","0.849643453193749","0","","2.2075495796052","2.66430690204772","1.55868238982263","","0.695258616577959","1.18626493443364","0.198082590601949","0","","0"
"34351","0","2502656","0","USAA Savings Bank","Las Vegas","NV","89109","12/31/2014","2/18/2015","NM","3773 Howard Hughes Parkway,","","1","0","0","9","0","Clark","29820","Las Vegas-Henderson-Paradise, NV","9/27/1996","9/27/1996","4/18/2014","Stock","32188","0","FDIC","DIF","San Francisco","DALLAS","Phoenix","San Francisco","Western","West","www.usaa.com","0","","","","","","","","","","","","0","",""
"58427","0","3536407","3536386","USAmeriBank","Largo","FL","33770","12/31/2014","2/18/2015","SM","1125 East Bay Drive","USAMERIBANCORP, INC.","28","0","1","4","0","Pinellas","45300","Tampa-St. Petersburg-Clearwater, FL","2/12/2007","2/12/2007","12/31/2011","Stock","0","0","FED","DIF","Atlanta","ATLANTA","Tampa","Atlanta","Southern","Southeast","www.usameribank.com","0.834512050690467","0.955858808140129","3.67947521496072","0.521273030746328","0","1.16325472363142","1.10970021531497","1.18204149088292","0.306970025279884","0.126593724568225","","0.126593724568225","0","0","2.59116626253982"
"58541","0","3620922","0","USNY Bank","Geneva","NY","14456","12/31/2014","2/18/2015","NM","389 Hamilton Street","","2","0","0","2","0","Ontario","40380","Rochester, NY","7/31/2007","7/31/2007","7/31/2007","Stock","0","0","FDIC","DIF","New York","NEW YORK","Syracuse","New York","Northeastern","Northeast","www.usnybank.com","5.27440069622089E-04","0","0","0","0","0","0","0","0","0.118203309692671","","0.118203309692671","0","","0"
"35323","0","2880019","3157549","Utah Community Bank","Sandy","UT","84094","12/31/2014","2/18/2015","NM","820 East 9400 South","ALL WEST BANCORP","1","0","0","4","0","Salt Lake","41620","Salt Lake City, UT","7/25/2000","7/25/2000","2/15/2011","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Salt Lake City","San Francisco","Western","West","www.utahcommunitybank.com","0","0","0","0","","0","0","0","0","0","","0","0","",""
"22514","0","256179","0","Utah Independent Bank","Salina","UT","84654","12/31/2014","2/18/2015","SM","55 South State Street","","3","0","0","4","1","Sevier","","","8/29/1977","8/29/1977","3/31/2006","Stock","0","0","FED","DIF","San Francisco","SAN FRANCISCO","Salt Lake City","San Francisco","Western","West","www.uibankonline.com","0.296686995220043","0.127014716187807","0","0","","0.344663655811742","","0.344663655811742","0.397393101255762","1.23294858342078","","1.23294858342078","0","","0"
"24919","9693","590220","2082532","Uwharrie Bank","Albemarle","NC","28001","12/31/2014","2/18/2015","SM","167 North Second Street","UWHARRIE CAPITAL CORP","9","0","0","4","0","Stanly","","","1/26/1984","1/26/1984","9/1/2013","Stock","0","0","FED","DIF","Atlanta","ATLANTA","Charlotte","Richmond","Northeastern","Southeast","http://www.uwharrie.com","0.717571884984026","0.842612323299018","1.30285714285714","0.876970145462177","0","0.805077062556664","2.80408101637152E-02","1.19872369254977","0","0","0","0","0","","0"
"27518","0","1401891","2807100","Valley Bank","Glasgow","MT","59230","12/31/2014","2/18/2015","SM","110 Sixth Street South","MILK RIVER BANQUO, INC.","1","0","0","2","0","Valley","","","6/9/1989","6/9/1989","3/31/2006","Stock","0","0","FED","DIF","San Francisco","SAN FRANCISCO","Billings","Minneapolis","Western","West","http://www.valleybankglasgow.com","0.874709486583562","0","0","0","","0","","0","4.69522240527183","0.385356454720617","","0.385356454720617","1.47851800313098","","0"
"34019","14686","2303086","2314327","Valley Bank","Roanoke","VA","24011","12/31/2014","2/18/2015","SM","36 Church Avenue Southwest","VALLEY FINANCIAL CORPORATION","9","0","0","4","0","Roanoke City","40220","Roanoke, VA","5/15/1995","5/15/1995","3/31/2006","Stock","0","0","FED","DIF","Atlanta","ATLANTA","Richmond","Richmond","Northeastern","Southeast","http://www.myvalleybank.com","0.950074575920228","1.09144303377","4.83147746805172","0.930777872443094","0","0.39618616396012","0.159197092922651","0.440406310337925","0.107024365880632","0","0","0","0","","0"
