cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,inst.webaddr,lnls,lnrs3les,lnrs3t12,lnrs1t3,lnrs3t5,lnrs5t15,lnrsov15,lnot3les,lnot3t12,lnot1t3,lnot3t5,lnot5t15,lnotov15
"58137","0","3426656","0","Pacific Rim Bank","Honolulu","HI","96813","12/31/2014","2/18/2015","NM","500 Ala Moana Blvd, # 2a","","1","0","0","4","0","Honolulu","46520","Urban Honolulu, HI","2/27/2006","2/27/2006","2/15/2013","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","San Francisco","San Francisco","Western","Western","www.pacificrimbank.com","78937","1542","264","1966","913","2372","1217","14028","8135","14909","7593","20887","5096"
"57740","0","3293540","0","Pacific Valley Bank","Salinas","CA","93901","12/31/2014","2/18/2015","NM","422 Main Street","","3","0","0","4","0","Monterey","41500","Salinas, CA","9/14/2004","9/14/2004","10/15/2014","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","San Francisco","San Francisco","Western","Western","http://www.pacificvalleybank.com","173568","146","4161","2391","9481","0","0","47272","14927","24543","53461","10460","1608"
"57872","0","3303944","0","Pacific West Bank","West Linn","OR","97068","12/31/2014","2/18/2015","NM","2040 8th Avenue","","2","0","0","4","0","Clackamas","38900","Portland-Vancouver-Hillsboro, OR-WA","11/5/2004","11/5/2004","10/6/2009","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Portland","San Francisco","Western","West","WWW.BANKPACIFICWEST.COM","38603","140","0","0","1793","3461","970","3674","2874","5189","3595","16381","0"
"24045","0","494261","2875332","Pacific Western Bank","Los Angeles","CA","90067","12/31/2014","2/18/2015","NM","10250 Constellation Blvd Sui","PACWEST BANCORP","84","0","0","4","0","Los Angeles","31080","Los Angeles-Long Beach-Anaheim, CA","8/26/1982","8/26/1982","4/7/2014","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Orange","San Francisco","Western","Western","WWW.PACIFICWESTERNBANK.COM","11858550","22082","21448","118860","18472","9953","78305","2579720","574442","3017982","3828002","1408897","96766"
"58763","0","3690662","0","Palm Beach Community Bank","West Palm Beach","FL","33411","12/31/2014","2/18/2015","SM","8101 Okeechobee Boulevard","","5","0","0","4","1","Palm Beach","33100","Miami-Fort Lauderdale-West Palm Beach, FL","4/7/2008","4/7/2008","2/18/2011","Stock","0","0","FED","DIF","Atlanta","ATLANTA","South Florida","Atlanta","Southern","Southeast","http://www.pbcblink.com","204707","1405","11942","3013","61","10446","33421","22319","25275","15027","13160","56400","9882"
"57880","0","3299168","3299140","Palmetto Heritage Bank & Trust","Pawleys Island","SC","29585","12/31/2014","2/18/2015","NM","10919 Ocean Boulevard","PALMETTO HERITAGE BANCSHARES, INC.","3","0","0","4","0","Georgetown","","","1/3/2005","1/3/2005","3/31/2006","Stock","0","1","FDIC","DIF","Atlanta","ATLANTA","Columbia Sc","Richmond","Northeastern","Southeast","http://www.palmettoheritagebank.com","107221","2256","10261","15818","12509","838","0","14178","17671","18778","11774","2060","198"
"17563","12235","277820","1076329","Palmetto State Bank","Hampton","SC","29924","12/31/2014","2/18/2015","NM","601 First Street, West","PALMETTO STATE BANKSHARES, INC.","8","0","0","7","0","Hampton","","","1/1/1907","12/28/1955","4/25/2014","Stock","0","1","FDIC","DIF","Atlanta","ATLANTA","Columbia Sc","Richmond","Northeastern","Southeast","http://www.palmettostatebank.com","176639","3120","4549","6717","14370","5097","4970","18429","25759","40989","36180","15518","260"
"15116","0","49643","1203536","PALMYRA STATE BANK","Palmyra","WI","53156","12/31/2014","2/18/2015","NM","111 East Main Street","WHITEWATER BANCORP, INC.","1","0","0","7","0","Jefferson","","","10/21/1911","1/5/1934","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Milwaukee","Chicago","Central","Central","http://www.palmyrastatebank.com","12663","181","991","1071","803","0","0","1291","3802","3248","1082","192","0"
"13990","0","90047","1201596","Palo Savings Bank","Palo","IA","52324","12/31/2014","2/18/2015","NM","606 First Street","BANKERS EQUITY CORPORATION","1","0","0","2","1","Linn","16300","Cedar Rapids, IA","1/1/1908","3/3/1934","3/31/2006","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Cedar Rapids","Chicago","Western","Western","www.palosavingsbank.com","18301","559","2889","3953","1128","714","0","3209","1530","3393","792","14","7"
"20448","0","641364","0","Pan American Bank","Los Angeles","CA","90063","12/31/2014","2/18/2015","NM","3626 East First Street","","1","0","0","4","0","Los Angeles","31080","Los Angeles-Long Beach-Anaheim, CA","7/1/1971","7/1/1971","5/27/2014","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Los Angeles (North)","San Francisco","Western","Western","http://www.panamericanbank.us","32406","0","528","1077","971","5623","5709","3358","2437","3193","319","5644","1476"
"34108","0","2343167","3618545","Pan American Bank","Melrose Park","IL","60160","12/31/2014","2/18/2015","NM","1440 West North Avenue","AMERICAN BANCORP OF ILLINOIS, INC.","6","0","0","4","1","Cook","16980","Chicago-Naperville-Elgin, IL-IN-WI","12/22/1995","12/22/1995","8/29/2014","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","WWW.PANAMERBANK.COM","184825","3658","4147","17478","13760","14920","994","29604","31909","21625","34480","8162","998"
"57989","0","3367067","0","Pan Pacific Bank","Fremont","CA","94539","12/31/2014","2/18/2015","NM","47065 Warm Springs Blvd.","","1","0","0","4","0","Alameda","41860","San Francisco-Oakland-Hayward, CA","7/18/2005","7/18/2005","8/30/2012","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","San Francisco","San Francisco","Western","Western","http://www.panpacificbank.com","88352","1922","1620","204","0","214","0","8011","14068","18033","26596","13718","3583"
"24763","0","1013856","2860918","Panola National Bank","Carthage","TX","75633","12/31/2014","2/18/2015","N","1510 West Panola","PANOLA NATIONAL BANCSHARES, INC.","2","0","0","5","1","Panola","","","10/6/1983","10/6/1983","8/29/2014","Stock","0","0","OCC","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","www.panolanationalbank.com","54213","1009","2089","8195","11232","1958","191","4551","6697","8723","7909","1242","261"
"18001","16105","88240","1133615","Panora State Bank","Panora","IA","50216","12/31/2014","2/18/2015","NM","120 East Main","DENTEL BANCORPORATION","1","0","0","7","1","Guthrie","19780","Des Moines-West Des Moines, IA","5/18/1959","5/18/1959","3/31/2006","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Des Moines","Chicago","Western","Western","www.panorastatebank.com","25441","423","1663","4471","4060","1893","516","3374","1923","4307","1276","1377","157"
"29676","3871","102874","0","Paper City Savings Association","Wisconsin Rapids","WI","54494","12/31/2014","2/18/2015","SA","4200 8th Street South","","3","0","0","5","0","Wood","","","1/1/1933","5/26/1958","7/21/2011","Non-Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Appleton","Chicago","Central","Central","www.papercitysavings.com","122355","4587","19277","9349","3586","24748","26102","3481","11482","6036","4264","4431","3872"
