cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,inst.webaddr,intinc,eintexp,nim,elnatr,nonii,ifiduc,iserchg,igltrad,idothnii,nonix,esal,epremagg,IDEOTH,idpretx,iglsec,itax,ibefxtr,extra,netinc,NETIMIN,NETINBM,ntlnls,eqcdiv,eqcstkrx,noij
"57511","0","3165357","3921816","Community First Bank of Indiana","Kokomo","IN","46901","12/31/2014","2/18/2015","NM","201 West Sycamore Street","COMMUNITY FIRST FINANCIAL CORPORATION","3","0","0","4","0","Howard","29020","Kokomo, IN","2/3/2003","2/3/2003","9/2/2009","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Indianapolis","Chicago","Central","Central","http://www.cfbindiana.com","8733","378","8355","600","1906","0","290","0","1616","6075","3686","501","1888","3586","0","1331","2255","0","2255","0","2255","1027","563","36","2255"
"3846","0","273840","3575264","COMMUNITY FIRST BANK OF THE HEARTLAND","Mount Vernon","IL","62864","12/31/2014","2/18/2015","SM","117 North 10th Street","CEDAR BANCORP, INC.","5","0","0","4","1","Jefferson","","","11/5/1906","1/1/1934","11/5/2011","Stock","0","0","FED","DIF","Chicago","CHICAGO","Mount Vernon","St. louis","Central","Central","www.commfirstbank.net","7699","401","7298","387","1933","0","422","-12","1523","5447","3257","525","1665","3397","57","63","3391","0","3391","0","3391","35","2926","0","3335.14"
"32838","0","1440117","2593083","Community First Bank, Inc.","Walhalla","SC","29691","12/31/2014","2/18/2015","NM","3685 Blue Ridge Boulevard","COMMUNITY FIRST BANCORPORATION","8","0","0","7","0","Oconee","","","3/12/1990","3/12/1990","11/29/2011","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Columbia Sc","Richmond","Northeastern","Southeast","www.c1stbank.com","11402","884","10518","1421","4685","0","788","0","3897","11831","4776","1035","6020","1951","19","0","1970","0","1970","0","1970","2506","0","0","1951"
"6584","12996","579319","2293093","Community First Bank, National Association","Forest","OH","45843","12/31/2014","2/18/2015","N","118 East Lima Street","COMMUNITY FIRST BANCSHARES, INC.","3","0","0","2","0","Hardin","","","10/4/1904","1/1/1934","3/31/2006","Stock","0","0","OCC","DIF","Chicago","CHICAGO","Columbus","Cleveland","Central","Central","www.com1stbank.com","1470","41","1429","0","154","0","55","0","99","1457","680","206","571","126","0","32","94","0","94","0","94","5","44","0","94"
"34610","0","2615220","2615239","Community First Banking Company","West Plains","MO","65775","12/31/2014","2/18/2015","NM","1330 Southern Hills Center","COMMUNITY BANCSHARES OF WEST PLAINS, INC","3","0","0","8","1","Howell","","","11/13/1997","11/13/1997","12/29/2009","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Springfield Mo","St. louis","Western","West","www.cfbankco.com","6261","668","5593","195","1117","0","402","0","715","4166","2156","422","1588","2349","112","8","2453","0","2453","0","2453","375","720","0","2341"
"35585","0","2907019","2948517","Community First National Bank","Manhattan","KS","66502","12/31/2014","2/18/2015","N","215 South Seth Child Road","TTAC CORP.","4","0","1","4","0","Riley","31740","Manhattan, KS","2/1/2001","2/1/2001","3/31/2006","Stock","0","0","OCC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","Western","http://www.cfnbmanhattan.com","7739","899","6840","408","5513","0","472","0","5041","9870","6616","685","2569","2075","0","670","1405","0","1405","0","1405","118","375","0","1405"
"27252","12463","1216059","3207686","Community Guaranty Savings Bank","Plymouth","NH","3264","12/31/2014","2/18/2015","SM","28 Main Street","COMMUNITY GUARANTY CORPORATION","2","0","0","5","0","Grafton","","","5/23/1988","5/23/1988","3/31/2006","Stock","0","1","FED","DIF","New York","NEW YORK","Concord","Boston","Northeastern","Northeast","www.cgsb.com","3873","530","3343","180","731","0","196","0","535","3613","1931","773","909","281","133","6","408","0","408","0","408","170","60","0","276.33"
"19272","13129","785932","0","Community National Bank","Dayton","TN","37321","12/31/2014","2/18/2015","N","1271 Market St","","6","0","1","4","1","Rhea","","","11/2/1964","11/2/1964","2/28/2009","Stock","0","0","OCC","DIF","Dallas","DALLAS","Knoxville","Atlanta","Southern","Southeast","www.cnb-usa.com","8253","515","7738","0","1776","0","811","0","965","7733","3610","825","3298","1781","0","0","1781","0","1781","0","1781","359","969","0","1781"
"6271","9996","270504","1115040","Community National Bank","Derby","VT","5829","12/31/2014","2/18/2015","N","4811 U.S. Route 5","COMMUNITY BANCORP","15","0","0","4","0","Orleans","","","1/15/1851","1/1/1934","6/2/2010","Stock","0","1","OCC","DIF","New York","NEW YORK","Springfield Ma","Boston","Northeastern","Northeast","www.communitynationalbank.com","22938","2654","20284","540","5112","0","1341","0","3771","17730","8732","2467","6531","7126","28","1575","5579","0","5579","0","5579","489","2772","0","5557.16"
"57828","0","3345168","0","Community National Bank","Great Neck","NY","11022","12/31/2014","2/18/2015","N","200 Middle Neck Road","","12","0","0","4","0","Nassau","35620","New York-Newark-Jersey City, NY-NJ-PA","4/5/2005","4/5/2005","3/31/2006","Stock","0","0","OCC","DIF","New York","NEW YORK","New York City","New York","Northeastern","Northeast","WWW.CNBNY.COM","35017","4349","30668","2690","3795","0","1169","0","2626","24519","12562","5987","5970","7254","64","3011","4307","0","4307","0","4307","1066","0","2164","4266.04"
"24897","0","293053","2868950","Community National Bank","Midland","TX","79701","12/31/2014","2/18/2015","N","401 W. Texas Avenue","MIDLAND BANCSHARES, INC.","11","0","0","4","0","Midland","33260","Midland, TX","1/3/1984","1/3/1984","3/31/2006","Stock","0","0","OCC","DIF","Dallas","DALLAS","Lubbock","Dallas","Southern","West","http://www.CNBTX.NET","39509","851","38658","1825","3619","0","1037","0","2582","22458","12894","3148","6416","17994","0","6198","11796","0","11796","0","11796","1028","6519","0","11796"
"25665","13515","354552","1067532","Community National Bank","Seneca","KS","66538","12/31/2014","2/18/2015","N","210 Main Street","COMMUNITY BANCSHARES, INC.","4","0","0","2","1","Nemaha","","","10/4/1984","10/4/1984","11/7/2006","Stock","0","0","OCC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","Western","www.communitynationalbank.net","9400","597","8803","34","7278","0","6200","0","1078","8420","4709","922","2789","7627","-577","292","6758","0","6758","0","6758","128","4519","0","7311.92"
"57395","0","3121308","0","Community National Bank","Monett","MO","65708","12/31/2014","2/18/2015","N","901 East Highway 60","","3","0","0","4","1","Barry","","","9/5/2002","9/5/2002","3/31/2006","Stock","0","0","OCC","DIF","Kansas City","KANSAS CITY","Springfield Mo","St. louis","Western","West","http://cnbbanking.com","3214","197","3017","8","925","0","492","0","433","2748","1533","304","911","1186","0","0","1186","0","1186","0","1186","51","875","0","1186"
"23431","0","643452","2412773","Community National Bank","Hondo","TX","78861","12/31/2014","2/18/2015","N","1502 Avenue M","MEDINA COMMUNITY BANCSHARES, INC.","4","0","0","4","0","Medina","41700","San Antonio-New Braunfels, TX","4/20/1981","4/20/1981","2/19/2010","Stock","0","0","OCC","DIF","Dallas","DALLAS","Austin","Dallas","Southern","West","www.cnbanktx.com","6781","615","6166","140","1951","0","781","0","1170","6390","3227","663","2500","1587","-3","231","1353","0","1353","0","1353","-251","330","0","1355.55"
"27046","11836","923752","1247398","Community National Bank & Trust","Chanute","KS","66720","12/31/2014","2/18/2015","N","14 North Lincoln Avenue","COMMUNITY BANCORP, INC.","26","0","0","4","0","Neosho","","","9/4/1987","9/4/1987","12/17/2010","Stock","0","1","OCC","DIF","Kansas City","KANSAS CITY","Springfield Mo","Kansas City","Western","Western","http://www.mybankcnb.com","33777","4416","29361","1066","6975","367","2251","0","4357","25752","15092","3622","7038","9518","424","2770","7172","0","7172","0","7172","269","1050","0","6866.72"
