cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,inst.webaddr,idothnii,iinvfee,ivencap,iserfee,isecz,iinscom,iinsund,iinsoth,netgnsln,netgnsre,netgnast,iotnii
"29332","3294","66275","2313704","First Southern Bank","Florence","AL","35630","12/31/2014","2/18/2015","NM","301 South Court Street","FIRST SOUTHERN BANCSHARES, INC.","5","0","0","4","0","Lauderdale","22520","Florence-Muscle Shoals, AL","1/1/1934","1/25/1935","2/24/2011","Stock","0","1","FDIC","DIF","Atlanta","ATLANTA","Shelby","Atlanta","Southern","Southeast","www.firstsouthern.com","415","0","0","2","0","1","0","1","66","-83","-107","536"
"2700","10561","702612","1247987","First Southern National Bank","Lancaster","KY","40444","12/31/2014","2/18/2015","N","27 Public Square","FIRST SOUTHERN BANCORP, INC.","18","0","0","4","0","Garrard","","","4/13/1865","1/1/1934","4/15/2011","Stock","0","0","OCC","DIF","Chicago","CHICAGO","Lexington","Cleveland","Central","Southeast","WWW.FSNB.NET","5098","0","0","43","0","1","0","1","0","-34","1599","3489"
"2829","12485","246134","1869987","First Southern State Bank","Stevenson","AL","35772","12/31/2014","2/18/2015","NM","80 Bank Street","FIRST BANCSHARES OF STEVENSON, INC.","8","0","0","8","0","Jackson","","","10/1/1910","1/1/1934","2/24/2011","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Shelby","Atlanta","Southern","Southeast","www.fssbank.com","420","0","0","0","0","13","0","13","0","0","0","407"
"57741","0","3224302","3228681","First Southwest Bank","Alamosa","CO","81101","12/31/2014","2/18/2015","NM","720 Main Street","FIRST SOUTHWEST BANCORPORATION, INC.","7","0","0","2","0","Alamosa","","","7/9/2004","7/9/2004","10/25/2012","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Denver","Kansas City","Western","Western","http://www.fswb.com","-710","0","0","0","0","0","0","0","624","-2000","0","666"
"1176","16062","105053","1107184","First Star Bank, S.S.B.","Bremond","TX","76629","12/31/2014","2/18/2015","SB","109 Commerce Street","SOUTHERN BANCSHARES, INC.","5","0","0","8","0","Robertson","17780","College Station-Bryan, TX","1/1/1905","1/1/1934","12/31/2014","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Austin","Dallas","Southern","West","www.firststarbanktx.com","692","0","0","0","0","1","0","1","385","54","0","252"
"12149","9559","565143","1119404","First State Bank","Irvington","KY","40146","12/31/2014","2/18/2015","NM","240 North First Street","FIRST BRECKINRIDGE BANCSHARES, INC.","3","0","0","8","0","Breckinridge","","","1/1/1903","1/1/1934","8/17/2007","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Elizabethtown","St. louis","Central","Southeast","www.firststatebankky.com","1154","0","0","0","0","0","0","0","0","4","0","1150"
"15663","0","924236","1083587","First State Bank","Waynesboro","MS","39367","12/31/2014","2/18/2015","NM","708 Azalea Drive","FIRST STATE CORPORATION","12","0","0","4","0","Wayne","","","5/1/1934","5/1/1939","1/1/2015","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Jackson Ms","Atlanta","Southern","West","http://www.firststatebnk.com","836","0","0","0","0","0","0","0","0","0","0","836"
"17856","0","750154","2088208","First State Bank","Chico","TX","76431","12/31/2014","2/18/2015","NM","201 S. Weatherford Street","CHICO BANCORP, INC.","4","0","0","4","1","Wise","19100","Dallas-Fort Worth-Arlington, TX","4/18/1958","4/18/1958","3/31/2006","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","www.fsbwise.com","813","0","0","0","0","1","0","1","0","-20","19","813"
"21752","13339","965051","1061110","First State Bank","Watonga","OK","73772","12/31/2014","2/18/2015","NM","321 West Main","FIRST STATE BANCORPORATION OF WATONGA, INC.","1","0","0","2","1","Blaine","","","9/5/1974","9/5/1974","3/31/2006","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Oklahoma City","Kansas City","Southern","West","www.fsbwatonga.com","50","0","0","0","0","0","0","0","0","0","0","50"
"22448","0","522454","2550602","First State Bank","Tahlequah","OK","74464","12/31/2014","2/18/2015","NM","1111 South Muskogee Avenue","MAXLOU BANCSHARES, INC.","2","0","0","4","1","Cherokee","","","4/13/1977","4/13/1977","9/13/2012","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Tulsa","Kansas City","Southern","West","http://www.fsbtahlequah.com","400","0","0","44","0","0","0","0","253","0","0","103"
