cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,inst.webaddr,ntrtmlg,cd3les,cd3t12,cd1t3,cdov3
"3826","15548","333940","0","The First National Bank of Okawville","Okawville","IL","62271","12/31/2014","2/18/2015","N","203 East Walnut Street","","1","0","0","2","0","Washington","","","6/26/1920","1/1/1934","3/31/2006","Stock","0","0","OCC","DIF","Chicago","CHICAGO","Mount Vernon","St. louis","Central","Central","http://www.fnbokaw.com","2583","536","470","836","741"
"4958","0","966731","0","The First National Bank of Oneida","Oneida","TN","37841","12/31/2014","2/18/2015","N","18418 Alberta Street","","5","0","0","4","1","Scott","","","1/1/1904","1/1/1934","11/12/2013","Stock","0","1","OCC","DIF","Dallas","DALLAS","Knoxville","Atlanta","Southern","Southeast","http://www.fnboneida.com","45410","19041","18765","7499","105"
"6280","12254","177500","0","The First National Bank of Orwell","Orwell","VT","5760","12/31/2014","2/18/2015","N","441 Main Street","","2","0","0","5","0","Addison","","","1/1/1863","1/1/1934","6/2/2010","Stock","0","0","OCC","DIF","New York","NEW YORK","Springfield Ma","Boston","Northeastern","Northeast","http://www.fnborwell.com","6186","1154","3533","1499","0"
"5221","12598","726458","1124967","The First National Bank of Osakis","Osakis","MN","56360","12/31/2014","2/18/2015","N","211-213 Central Avenue","OSAKIS BANCSHARES","1","0","0","8","1","Douglas","","","6/8/1903","1/1/1934","3/31/2006","Stock","0","0","OCC","DIF","Kansas City","KANSAS CITY","Fargo","Minneapolis","Central","West","www.fnbosakis.com","3728","413","2091","1224","0"
"3719","0","856243","2791816","The First National Bank of Ottawa","Ottawa","IL","61350","12/31/2014","2/18/2015","N","710-703 La Salle Street","FIRST OTTAWA BANCSHARES, INC.","8","0","0","4","0","La Salle","","","6/1/1865","1/1/1934","3/31/2006","Stock","0","1","OCC","DIF","Chicago","CHICAGO","Princeton","Chicago","Central","Central","http://www.firstottawa.com","15660","4079","4553","4517","2511"
"3377","0","1014965","2341565","The First National Bank of Paducah","Paducah","TX","79248","12/31/2014","2/18/2015","N","Tenth And Bacus Streets","FIRST PADUCAH BANCSHARES OF TEXAS, INC.","1","0","0","2","1","Cottle","","","1/1/1909","1/1/1934","3/31/2006","Stock","0","0","OCC","DIF","Dallas","DALLAS","Lubbock","Dallas","Southern","West","www.fnbpaducah.com","8776","2981","4749","909","137"
"6671","10937","571920","1139149","The First National Bank of Pandora","Pandora","OH","45877","12/31/2014","2/18/2015","N","102 East Main Street","PANDORA BANCSHARES, INCORPORATED","5","0","0","4","0","Putnam","","","6/21/1919","1/1/1934","3/31/2006","Stock","0","0","OCC","DIF","Chicago","CHICAGO","Columbus","Cleveland","Central","Central","www.e-fnb.com","21964","3191","12686","4503","1584"
"5358","0","34452","1122543","The First National Bank of Park Falls","Park Falls","WI","54552","12/31/2014","2/18/2015","N","2nd Ave. & Division St.","PARK FALLS AGENCY, INC.","3","0","0","8","1","Price","","","2/26/1914","1/1/1934","3/31/2006","Stock","0","0","OCC","DIF","Chicago","CHICAGO","Eau Claire","Minneapolis","Central","Central","firstnationalbankparkfalls.com","25394","2688","14240","7966","500"
"4177","52809","639651","1055397","The First National Bank of Pawnee","Pawnee","OK","74058","12/31/2014","2/18/2015","N","601 Harrison Street","GEORGE MADISON CORPORATION, THE","1","0","0","2","1","Pawnee","46140","Tulsa, OK","2/8/1894","1/1/1934","3/31/2006","Stock","0","0","OCC","DIF","Dallas","DALLAS","Tulsa","Kansas City","Southern","West","fnbpawnee.com","6168","2846","3322","0","0"
"6787","0","719030","2942805","The First National Bank of Peterstown","Peterstown","WV","24963","12/31/2014","2/18/2015","N","220 Market Street","PETERSTOWN BANCORP, INC.","1","0","0","5","0","Monroe","","","1/27/1910","1/1/1934","3/31/2006","Stock","0","0","OCC","DIF","Atlanta","ATLANTA","Scott Depot","Richmond","Northeastern","Northeast","www.fnbpeterstown.com","11841","750","6227","4864","0"
"5006","13028","968744","2524911","The First National Bank of Pontotoc","Pontotoc","MS","38863","12/31/2014","2/18/2015","N","19 South Main Street","PONTOTOC BANCSHARES CORP.","3","0","0","8","0","Pontotoc","","","1/1/1900","1/1/1934","3/31/2006","Stock","0","0","OCC","DIF","Dallas","DALLAS","Memphis","St. louis","Southern","West","http://www.1stnbpontotoc.com","56110","9747","36488","6737","3138"
"7704","12798","20512","3962060","The First National Bank of Port Allegany","Port Allegany","PA","16743","12/31/2014","2/18/2015","N","64 Main Street","FNBPA BANCORP, INC.","3","0","0","8","0","Mckean","","","4/19/1888","1/1/1934","3/31/2006","Stock","0","1","OCC","DIF","New York","NEW YORK","Wexford","Philadelphia","Northeastern","Northeast","http://www.fnbpa.com","9815","982","4377","2972","1484"
