cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,inst.webaddr,lnlsnet,lnatres,lnlsgr,lncontra,idlnls,lnre,lnredom,lnrecons,lnrenres,LNRENROW,LNRENROT,lnremult,lnreres,lnreag,lnrefor,lnag,lnci,lncinus,lncon,lncrcd,lnconrp,LNAUTO,lnconoth,lnotci,lnfg,lnmuni,idothlns,ls,lndepac,lncomre,lnrenus,rslnltot,rslnls,LNRECNFM,LNRECNOT,RB2LNRES,lnlsgrf
"15310","11862","594433","1493654","CB&S Bank, Inc.","Russellville","AL","35653","12/31/2014","2/18/2015","NM","201 South Jackson Street","CBS BANC-CORP.","56","0","1","9","0","Franklin","","","1/1/1906","12/6/1935","8/23/2013","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Shelby","Atlanta","Southern","Southeast","WWW.CBSBANK.COM","547665","5556","553221","0","553221","446478","446478","48978","184213","101816","82397","22429","172686","18172","","5831","66952","0","25258","751","702","6792","17013","8702","0","272","3875","955","3600","3130","0","4210","3516","9250","39728","5556",""
"58434","0","3615021","0","CBank","Cincinnati","OH","45236","12/31/2014","2/18/2015","NM","8050 Hosbrook Rd, Suite 220","","2","0","0","4","1","Hamilton","17140","Cincinnati, OH-KY-IN","7/16/2007","7/16/2007","7/1/2013","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Cincinnati","Cleveland","Central","Central","WWW.CBANKUSA.COM","84827","1078","85905","0","85905","60442","60442","2747","35739","14628","21111","9393","12563","0","","0","20187","","771","76","150","0","545","4505","0","0","0","4505","0","0","","0","0","2247","500","1072",""
"1421","0","380841","1097119","CBC Bank","Bowling Green","MO","63334","12/31/2014","2/18/2015","NM","901 S Business Hwy 61","CLIFFORD BANCSHARES, INC.","4","0","0","8","1","Pike","","","1/1/1871","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","St. Louis","St. louis","Western","West","www.cbcbank.net","13153","163","13316","0","13316","11482","11482","971","4502","3761","741","823","4300","886","","0","1453","","364","0","8","277","79","17","0","16","1","0","0","0","","0","0","149","822","163",""
"35309","0","2855914","2855905","CBC NATIONAL BANK","Fernandina Beach","FL","32034","12/31/2014","2/18/2015","N","1891 South 14th Street","COASTAL BANKING COMPANY, INC.","5","0","1","4","0","Nassau","27260","Jacksonville, FL","5/10/2000","5/10/2000","8/10/2008","Stock","0","0","OCC","DIF","Atlanta","ATLANTA","Gainesville","Atlanta","Southern","Southeast","www.cbcnationalbank.com","363072","4829","367901","0","367901","353309","353309","33778","97704","57500","40204","4647","216916","264","","4","13268","0","1320","0","223","373","724","0","0","0","0","0","0","0","0","6231","4097","17792","15986","2612",""
"13959","0","71859","3914872","CBW Bank","Weir","KS","66781","12/31/2014","2/18/2015","NM","109 E. Main Street","CB BANCSHARES CORP","1","0","0","7","0","Cherokee","","","1/1/1892","2/28/1934","8/15/2014","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Springfield Mo","Kansas City","Western","Western","cbwbank.com","2555","82","2637","0","2637","1417","1417","0","722","381","341","0","565","130","","325","503","","119","0","0","75","44","272","0","0","272","0","0","0","","0","0","0","0","82",""
"16595","11147","655839","1020395","CCB Community Bank","Andalusia","AL","36420","12/31/2014","2/18/2015","NM","225 East Three Notch Street","SOUTHERN NATIONAL CORPORATION","4","0","1","2","1","Covington","","","7/1/1947","7/1/1947","1/1/2014","Stock","0","1","FDIC","DIF","Atlanta","ATLANTA","Pensacola","Atlanta","Southern","Southeast","www.bankccb.com","363323","4520","367843","364","368207","302807","302807","32718","90136","35079","55057","2149","89516","88288","","11461","40906","0","10240","1025","954","4201","4060","2793","0","2308","485","0","0","0","0","5108","4241","8424","24294","4521",""
"31121","6420","813572","3135190","Cecil Bank","Elkton","MD","21921","12/31/2014","2/18/2015","SM","127 North St","CECIL BANCORP, INC.","9","0","0","4","0","Cecil","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","10/7/1959","10/7/1959","7/14/2008","Stock","0","0","FED","DIF","New York","NEW YORK","Baltimore","Richmond","Northeastern","Southeast","http://www.cecilbank.com","181988","9803","191791","422","192213","184152","184152","27431","85609","64823","20786","3606","66516","990","","1310","5852","0","899","0","43","48","808","0","0","0","0","0","0","5852","0","5801","1817","16835","10596","2794",""
"34478","0","2651899","0","Cedar Hill National Bank","Charlotte","NC","28273","12/31/2014","2/18/2015","N","9401 Southern Pine Blvd, # P","","1","0","0","7","0","Mecklenburg","16740","Charlotte-Concord-Gastonia, NC-SC","2/2/1998","2/2/1998","6/13/2011","Stock","0","0","OCC","DIF","Atlanta","ATLANTA","Atlanta","Richmond","Northeastern","Southeast","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0",""
"57244","0","3029589","2125813","Cedar Rapids Bank and Trust Company","Cedar Rapids","IA","52401","12/31/2014","2/18/2015","SM","500 1st Ave. Ne, Suite 100","QCR HOLDINGS, INC.","6","0","0","4","0","Linn","16300","Cedar Rapids, IA","9/14/2001","9/14/2001","10/26/2013","Stock","0","0","FED","DIF","Kansas City","KANSAS CITY","Cedar Rapids","Chicago","Western","Western","www.CRBT.com","568431","7891","576322","0","576322","361891","361891","49070","203339","74149","129190","37589","65165","6728","","555","145182","0","7185","1645","344","1299","3897","61509","0","42114","9849","0","9546","0","0","258","0","4793","44277","7890",""
"18820","53546","1005851","1065202","Cedar Rapids State Bank","Cedar Rapids","NE","68627","12/31/2014","2/18/2015","NM","213 W Main St","CEDAR RAPIDS STATE COMPANY","1","0","0","2","0","Boone","","","5/25/1936","6/26/1963","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Grand Island","Kansas City","Western","West","http://www.cedarrapidsstatebank.com","30688","360","31048","0","31048","15034","15034","0","2314","448","1866","0","328","12392","","10855","4130","","996","0","0","355","641","33","0","0","33","0","0","0","","0","0","0","0","360",""
