cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,webaddr,ntlnlsr,ntrer,ntrecosr,ntrenrsr,ntremulr,ntreresr,ntrelocr,ntreothr,idntcir,idntconr,idntcrdr,idntcoor,idntothr,ntcomrer
"90234","8425","816304","0","Marblehead Bank","Marblehead","MA","1945","12/31/2014","2/18/2015","SM","21 Atlantic Avenue","","3","0","0","5","0","Essex","14460","Boston-Cambridge-Newton, MA-NH","3/18/1871","9/17/1985","10/22/2008","Non-Stock","0","0","FED","DIF","New York","NEW YORK","North Boston","Boston","Northeastern","Northeast","www.marblebank.com","3.56968702600618E-02","2.32113282204694E-02","0","0","0","2.76724686609292E-02","0.18579641085051","0","0.535331905781585","1.49185219187514","","1.49185219187514","",""
"20250","0","258445","1823608","Marine Bank","Springfield","IL","62704","12/31/2014","2/18/2015","NM","3050 West Wabash Avenue","MARINE BANCORP, INC.","13","0","0","4","1","Sangamon","44100","Springfield, IL","9/4/1970","9/4/1970","10/4/2013","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Springfield Il","Chicago","Central","Central","www.ibankmarine.com","0.221999934350214","0.278940922236401","0","0.46591348010815","0","-4.80198055020026E-02","0","-5.48152118303408E-02","-0.254029185130825","7.72845307283294E-02","","7.72845307283294E-02","0",""
"34233","0","2587916","0","Marine Bank & Trust Company","Vero Beach","FL","32963","12/31/2014","2/18/2015","NM","571 Beachland Boulevard","","2","0","0","4","0","Indian River","42680","Sebastian-Vero Beach, FL","7/1/1997","7/1/1997","3/31/2006","Stock","0","1","FDIC","DIF","Atlanta","NEW YORK","South Florida","Atlanta","Southern","Southeast","marinebankandtrust.com","-3.50027302129566E-03","-1.04445187165775E-03","-0.14430393031432","6.87731813050778E-02","0","-4.31416180377376E-02","-0.228545309107531","-1.80457020293681E-02","0","-0.370553359683794","","-0.370553359683794","0",""
"11685","13176","428631","1097182","Marine Bank and Trust","Carthage","IL","62321","12/31/2014","2/18/2015","NM","410 Buchanan","UNITED COMMUNITY BANCORP, INC.","3","0","0","2","1","Hancock","","","5/1/1920","1/1/1934","11/4/2006","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Springfield Il","Chicago","Central","Central","www.marinebk.com","0.122038153388399","1.68214237653075E-02","0","4.14101537697043E-02","0","3.76467367124132E-02","0","3.83235201895272E-02","0.66930078839017","0.148474707904565","","0.148474707904565","1.23203538405623E-02",""
"35479","0","3010000","3227947","MARINERS BANK","Edgewater","NJ","7020","12/31/2014","2/18/2015","NM","935 River Road","MARINER'S BANCORP","7","0","0","4","1","Bergen","35620","New York-Newark-Jersey City, NY-NJ-PA","5/1/2001","5/1/2001","7/21/2010","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","New York","Northeastern","Northeast","http://www.marinersbank.com","0.47714490412143","0.362447563712434","-0.161580721111675","0.371424454885495","0","0.456989891452064","0","0.516972977996701","1.38662023657805","1.01823118696664","","1.01823118696664","0",""
"14184","0","449832","1248023","Marion Bank and Trust Company","Marion","AL","36756","12/31/2014","2/18/2015","NM","332 South Washington Street","MARION BANCSHARES, INC.","2","0","0","4","1","Perry","","","3/17/1934","4/2/1934","2/24/2011","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Shelby","Atlanta","Southern","Southeast","https://www.marion-bank.com","2.05433658001516E-02","1.82217640750112E-02","0","-4.18678650180032E-03","0","5.72156026948549E-02","","5.72156026948549E-02","0","0.100257327139658","","0.100257327139658","0",""
"7909","11479","947525","1138928","Marion Center Bank","Indiana","PA","15701","12/31/2014","2/18/2015","NM","1271 Indian Springs Road","COMMUNITY BANKERS' CORPORATION","8","0","0","4","0","Indiana","","","7/6/1905","1/1/1934","6/24/2011","Stock","0","0","FDIC","DIF","New York","NEW YORK","Wexford","Cleveland","Northeastern","Northeast","http://www.marioncenterbank.com","8.43730341083053E-02","0.100423150540311","0","0.415685966104742","0","-4.45648173705033E-02","0","-5.08986066916891E-02","-4.21173220121972E-02","0.484261501210654","","0.484261501210654","0",""
"30819","5968","441078","0","Marion County Savings Bank","Salem","IL","62881","12/31/2014","2/18/2015","SB","301 W Main Street","","3","0","0","5","0","Marion","","","1/1/1910","8/27/1956","9/1/2012","Non-Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Mount Vernon","St. louis","Central","Central","WWW.MARIONCOUNTYSAVINGS.COM","0.140432219163425","0.116610279118364","0","0","0","0.151409929261281","0","0.166666666666667","0","0.230650252810767","","0.230650252810767","0",""
"15272","16045","97943","1200245","Marion County State Bank","Pella","IA","50219","12/31/2014","2/18/2015","NM","800 Main Street","PELLA FINANCIAL GROUP, INC.","2","0","0","2","1","Marion","","","9/21/1935","9/21/1935","3/31/2006","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Des Moines","Chicago","Western","Western","http://www.marioncountybank.com","-5.73457628362756E-04","0","0","0","0","0","0","0","0","-4.45831475702185E-02","0","-4.46189541317152E-02","0",""
"15355","0","484057","3828250","Marion State Bank","Marion","TX","78124","12/31/2014","2/18/2015","NM","301 West San Antonio Street","MARION BANCSHARES, INC.","1","0","0","7","1","Guadalupe","41700","San Antonio-New Braunfels, TX","1/1/1906","2/11/1936","10/4/2007","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Austin","Dallas","Southern","West","www.marionstatebanktx.com","9.27127758205081E-02","0","0","0","","0","","0","-0.542766236196893","0.776350240516349","","0.776350240516349","0.116522955022139",""
"9320","0","678454","0","Marion State Bank","Marion","LA","71260","12/31/2014","2/18/2015","NM","345 Main Street","","3","0","0","4","0","Union","33740","Monroe, LA","2/1/1907","1/1/1934","2/21/2008","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Shreveport","Dallas","Southern","Western","www.marionstatebank.com","0.188735491564007","0.101216111580641","-7.78937529210157E-02","0","0","0.238417134618729","0","0.239495987737805","0.210936232354373","0.511557408109132","","0.511557408109132","2.5032184236876",""
"1517","13003","489641","1406850","Markesan State Bank","Markesan","WI","53946","12/31/2014","2/18/2015","SM","84 N. Bridge Street","MARKESAN BANCSHARES, INC.","4","0","0","2","0","Green Lake","","","11/3/1891","1/1/1934","3/31/2006","Stock","0","1","FED","DIF","Chicago","CHICAGO","Madison","Chicago","Central","Central","www.markesanstatebank.com","2.20159817422394","5.06670720032427E-02","","0.264347826086957","","0","","0","0.350568246669602","0.161140877412078","0","0.162833299409729","7.48213100664716",""
"90235","16539","818401","3469354","Marlborough Savings Bank","Marlborough","MA","1752","12/31/2014","2/18/2015","SB","81 Granger Boulevard","MARLBOROUGH BANCSHARES MHC","6","0","0","4","0","Middlesex","14460","Boston-Cambridge-Newton, MA-NH","4/3/1860","11/15/1985","9/13/2010","Stock","0","0","FDIC","DIF","New York","NEW YORK","North Boston","Boston","Northeastern","Northeast","WWW.MARLBOROUGHSAVINGS.COM","-3.23466944589465E-03","2.06199738813664E-03","0","0","0","3.54840617422674E-03","0","4.01722048514633E-03","-0.134873026679169","0.192278111059837","","0.192278111059837","",""
"58267","0","3716852","3832583","Marlin Business Bank","Salt Lake City","UT","84121","12/31/2014","2/18/2015","SM","2795 E Cottonwood Parkway, #","MARLIN BUSINESS SERVICES CORP.","1","0","0","8","0","Salt Lake","41620","Salt Lake City, UT","3/12/2008","3/12/2008","1/13/2009","Stock","0","0","FED","DIF","San Francisco","SAN FRANCISCO","Salt Lake City","San Francisco","Western","West","","1.48701420051758","0","","","0","","","","0.736531986531987","","","","1.55218796851234",""
"16250","10700","716833","1207486","Marquette Bank","Chicago","IL","60636","12/31/2014","2/18/2015","SM","6316 South Western Avenue","MARQUETTE NATIONAL CORPORATION","25","0","0","4","0","Cook","16980","Chicago-Naperville-Elgin, IL-IN-WI","5/12/1945","5/12/1945","10/20/2006","Stock","0","1","FED","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","www.emarquettebank.com","0.263082087490226","0.238098718608068","0.396036266810476","0.192855447424638","1.88207519116238E-03","0.464137433503078","0.382900823097025","0.488382257752391","1.09594559370631","21.5473790322581","","21.5473790322581","0",""
"18094","0","388258","0","Marquette Farmers State Bank of Marquette","Marquette","KS","67464","12/31/2014","2/18/2015","NM","205 North Washington","","1","0","0","2","0","Mcpherson","","","7/26/1906","10/15/1959","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Wichita","Kansas City","Western","Western","www.mfsb.com","7.05757807445745E-02","0.143613310902302","0","1.49164677804296","","-0.123650152501855","","-0.123650152501855","0","-0.108330625067707","","-0.108330625067707","0",""
