cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,inst.webaddr,IDdepsam,IDdepsmb,DEPSMRA,DEPSMRN,NTRCDSMJ,IDdeplam,IDdeplgb,DEPLGRA,DEPLGRN,TRNNIA,TRNNIN,NTRTMLGJ
"11446","0","837840","1995523","Merchants & Farmers Bank","Holly Springs","MS","38635","12/31/2014","2/18/2015","NM","650 Highway 7 South","M & F BANCORP, INC.","6","0","0","8","1","Marshall","32820","Memphis, TN-MS-AR","3/15/1899","1/1/1934","3/31/2006","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Memphis","St. louis","Southern","West","http://www.mandfbankhs.com","56119","6658","3189","165","22495","19332","32","435","1","","","8770"
"9319","0","136338","1084203","Merchants & Farmers Bank & Trust Company","Leesville","LA","71446","12/31/2014","2/18/2015","NM","501 South Fifth Street","MERCHANTS & FARMERS BANCSHARES, INC.","7","0","0","4","0","Vernon","","","1/1/1928","1/1/1934","9/24/2010","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Shreveport","Atlanta","Southern","Western","www.merchantsandfarmers.com","117901","9525","5318","187","33655","120137","84","801","3","","","23584"
"855","0","376237","2111432","Merchants & Farmers Bank of Greene County, Alabama","Eutaw","AL","35462","12/31/2014","2/18/2015","NM","251 Prairie Avenue","MERCHANTS AND FARMERS BANCSHARES, INC.","1","0","0","4","1","Greene","","","1/1/1900","1/1/1934","11/14/2014","Stock","0","1","FDIC","DIF","Atlanta","ATLANTA","Shelby","Atlanta","Southern","Southeast","MFBUSA.COM","38606","3896","1131","96","8743","15093","26","0","0","","","1142"
"12203","0","94139","3696093","Merchants & Marine Bank","Pascagoula","MS","39567","12/31/2014","2/18/2015","NM","3118 Pascagoula Street","MERCHANTS & MARINE BANCORP, INC.","12","0","1","4","0","Jackson","25060","Gulfport-Biloxi-Pascagoula, MS","1/11/1932","1/1/1934","10/4/2012","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Jackson Ms","Atlanta","Southern","West","WWW.MANDMBANK.COM","276119","27166","11048","457","92934","172874","168","969","3","","","15446"
"8665","9870","529855","1129971","Merchants & Planters Bank","Bolivar","TN","38008","12/31/2014","2/18/2015","NM","411 West Market Street","MERCHANTS & PLANTERS BANCSHARES, INC.","7","0","1","4","0","Hardeman","","","10/1/1905","1/1/1934","10/22/2009","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Memphis","St. louis","Southern","Southeast","www.mpbanktn.com","59061","5998","6369","232","27351","6359","15","446","1","","","1297"
"16464","13826","99143","3394429","Merchants & Planters' Bank","Newport","AR","72112","12/31/2014","2/18/2015","NM","Second And Hazel Streets","M&P COMMUNITY BANCSHARES, INC. 401(K) EMPLOYEE STOCK OWNERSHIP PLAN","9","0","0","2","0","Jackson","","","8/6/1946","8/6/1946","3/31/2006","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Little Rock","St. louis","Southern","Western","http://www.mandpbank.com","134743","13324","10102","322","62702","73435","98","272","1","","","18347"
"18116","11612","726234","1082469","Merchants & Southern Bank","Gainesville","FL","32602","12/31/2014","2/18/2015","NM","3361 North Main Street","MERCHANTS & SOUTHERN BANKS OF FLORIDA, INC.","14","0","0","4","1","Alachua","23540","Gainesville, FL","11/25/1959","11/25/1959","3/31/2006","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Gainesville","Atlanta","Southern","Southeast","http://www.msbank.com","208046","12631","5904","402","33945","120263","206","1675","3","","","9944"
"8735","15744","644842","1099506","Merchants and Farmers Bank","Dumas","AR","71639","12/31/2014","2/18/2015","NM","500 Highway 65 South","M & F FINANCIAL CORPORATION","3","0","0","4","0","Desha","","","5/10/1909","1/1/1934","3/31/2006","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Little Rock","St. louis","Southern","Western","www.mfbanknet.com","63661","5651","4695","193","29507","29946","39","281","1","","","5638"
"20040","15386","1008432","2022734","Merchants and Manufacturers Bank","Joliet","IL","60432","12/31/2014","2/18/2015","NM","601 East Cass Street","MERCHANTS AND MANUFACTURERS BANK CORPORATION","5","0","0","4","0","Will","16980","Chicago-Naperville-Elgin, IL-IN-WI","9/24/1969","9/24/1969","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","www.m-mbank.com","99114","8154","1965","153","13183","76436","74","0","0","","","40770"
"327","12538","579636","0","Merchants and Planters Bank","Raymond","MS","39154","12/31/2014","2/18/2015","NM","308 Raymond Square","","5","0","0","7","0","Hinds","27140","Jackson, MS","2/1/1906","1/1/1934","8/21/2012","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Jackson Ms","Atlanta","Southern","West","http://www.mpbank.net","49704","4258","2433","131","10066","21561","36","274","1","","","2951"
"8943","0","700458","1142206","Merchants Bank","Rugby","ND","58368","12/31/2014","2/18/2015","NM","210 Main Avenue S.","MERCHANTS HOLDING COMPANY","2","0","1","2","0","Pierce","","","8/4/1897","1/1/1934","10/15/2011","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Grand Forks","Minneapolis","Central","West","www.merchantsbankrugby.com","66147","4003","1539","98","17031","34403","56","0","0","","","1345"
"18637","11078","147633","1085107","Merchants Bank","Jackson","AL","36545","12/31/2014","2/18/2015","NM","1901 North College Avenue","MERCHANTS TRUST, INC.","6","0","0","4","1","Clarke","","","11/16/1962","11/16/1962","3/31/2006","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Montgomery","Atlanta","Southern","Southeast","http://www.merchantsbk.com","118843","11586","16423","749","69217","41678","66","2223","7","","","8385"
"6268","9006","166803","1023239","Merchants Bank","South Burlington","VT","5403","12/31/2014","2/18/2015","NM","275 Kennedy Drive","MERCHANTS BANCSHARES, INC.","32","0","0","4","0","Chittenden","15540","Burlington-South Burlington, VT","1/1/1849","1/1/1934","6/30/2014","Stock","0","1","FDIC","DIF","New York","NEW YORK","Springfield Ma","Boston","Northeastern","Northeast","www.mbvt.com","953759","109844","47150","2916","184100","307642","516","1144","4","","","27584"
"46","0","113937","1082955","Merchants Bank of Alabama","Cullman","AL","35055","12/31/2014","2/18/2015","NM","900 Second Avenue, Sw","MERCHANTS FINANCIAL SERVICES, INC.","5","0","0","4","0","Cullman","","","1/1/1907","1/1/1934","2/24/2011","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Shelby","Atlanta","Southern","Southeast","www.merchantsbankal.com","149355","14649","14445","482","58314","59658","104","1349","4","","","11176"
"7391","15326","935111","2298904","Merchants Bank of Bangor","Bangor","PA","18013","12/31/2014","2/18/2015","SM","25 Broadway","MNB CORPORATION","9","0","0","4","0","Northampton","10900","Allentown-Bethlehem-Easton, PA-NJ","10/8/1890","1/1/1934","6/28/2008","Stock","0","1","FED","DIF","New York","NEW YORK","Philadelphia","Philadelphia","Northeastern","Northeast","http://www.merchantsbangor.com","201051","17250","8303","747","58957","89056","128","269","1","","","6391"
